tau,s_tmp,cash,delta,pv,r,q,PL,cash,asset,debt,PL,,,
507,168.692,-0.0429549,0.00346702,0.553584,0.0143663,0.207201,-0.0116808,-0.0429549,0.584858538,-0.553584,-1.1680%,,,
508,169.274,-0.0429975,0.00346923,0.555915,0.0143597,0.207906,-0.0116616,-0.0429963,0.587250439,-0.555915,-1.1661%,,,
509,168.153,-0.0407789,0.00345801,0.55235,0.0143532,0.208611,-0.0116538,-0.0407778,0.581474756,-0.55235,-1.1653%,,,
510,171.899,-0.0478716,0.00349928,0.565361,0.0143466,0.00164239,-0.0117099,-0.0478710,0.601522733,-0.565361,-1.1709%,,,
511,173.095,-0.0477589,0.00349863,0.569531,0.01434,0.00153283,-0.0116941,-0.0477578,0.60559536,-0.569531,-1.1693%,,,
512,174.828,-0.052966,0.00352842,0.575603,0.0143334,0.00142328,-0.0117029,-0.0529654,0.616866612,-0.575603,-1.1702%,,,
513,173.128,-0.0475831,0.00349733,0.569613,0.0143268,0.00131372,-0.0117104,-0.0475828,0.605485748,-0.569613,-1.1710%,,,
514,168.611,-0.040433,0.00345492,0.553867,0.0143203,0.00120417,-0.0117618,-0.0404319,0.582537516,-0.553867,-1.1761%,,,
515,169.627,-0.042595,0.00346767,0.557371,0.0143137,0.00109461,-0.011756,-0.0425945,0.588210459,-0.557371,-1.1755%,,,
516,171.941,-0.0473544,0.00349535,0.565409,0.0143071,0.000985055,-0.0117698,-0.0473538,0.600993974,-0.565409,-1.1769%,,,
517,169.203,-0.0424537,0.00346638,0.555871,0.0143005,0.000875499,-0.0118021,-0.0424525,0.586521895,-0.555871,-1.1802%,,,
518,169.27,-0.0423447,0.00346574,0.556087,0.014294,0.000765944,-0.0117867,-0.0423446,0.58664581,-0.556087,-1.1786%,,,
519,169.147,-0.0422354,0.00346509,0.555646,0.0142874,0.000656388,-0.0117727,-0.0422352,0.586109578,-0.555646,-1.1772%,,,
520,170.058,-0.0421253,0.00346444,0.558789,0.0142808,0.000546832,-0.0117598,-0.0421255,0.589155738,-0.558789,-1.1759%,,,
521,172.718,-0.0468853,0.00349199,0.568035,0.0142742,0.000437276,-0.0117911,-0.0468848,0.603129529,-0.568035,-1.1790%,,,
522,173.378,-0.0493507,0.0035062,0.570326,0.0142677,0.000327721,-0.0117784,-0.0493498,0.607897944,-0.570326,-1.1778%,,,
523,174.002,-0.0492317,0.00350551,0.572492,0.0142611,0.000218165,-0.0117578,-0.0492313,0.609965751,-0.572492,-1.1758%,,,
524,177.951,-0.0575976,0.00355251,0.586401,0.0142545,0.000108609,-0.0118256,-0.0575967,0.632172707,-0.586401,-1.1825%,,,
525,177.757,-0.057473,0.0035518,0.585691,0.0142479,-9.46E-07,-0.0118071,-0.0574727,0.631357313,-0.585691,-1.1806%,,,
526,174.321,-0.0490404,0.00350341,0.573553,0.0142414,-0.000110502,-0.011875,-0.0490398,0.610717935,-0.573553,-1.1875%,,,
527,173.735,-0.04892,0.0035027,0.571477,0.0142348,-0.000220058,-0.0118551,-0.0489187,0.608541585,-0.571477,-1.1854%,,,
528,175.267,-0.0514916,0.00351736,0.576832,0.0142282,-0.000329613,-0.0118459,-0.0514906,0.616477135,-0.576832,-1.1845%,,,
529,175.09,-0.0513682,0.00351664,0.576189,0.0142216,-0.000439169,-0.0118289,-0.0513673,0.615728498,-0.576189,-1.1828%,,,
530,176.929,-0.0540516,0.00353179,0.582645,0.0142151,-0.000548725,-0.0118207,-0.0540507,0.624876073,-0.582645,-1.1820%,,,
531,175.907,-0.0511345,0.00351519,0.579021,0.0142085,-0.000658281,-0.0118087,-0.0511338,0.618346527,-0.579021,-1.1808%,,,
532,175.615,-0.0510095,0.00351446,0.57797,0.0142019,-0.000767836,-0.0117876,-0.0510089,0.617191893,-0.57797,-1.1787%,,,
533,172.461,-0.0456938,0.00348362,0.566907,0.0141953,-0.000877392,-0.011813,-0.0456937,0.600788589,-0.566907,-1.1812%,,,
534,174.376,-0.048148,0.00349767,0.573578,0.0141888,-0.000986948,-0.0118164,-0.0481471,0.609909704,-0.573578,-1.1815%,,,
535,172.194,-0.0454841,0.00348218,0.565938,0.0141822,-0.0010965,-0.0118117,-0.0454835,0.599610503,-0.565938,-1.1811%,,,
536,171.635,-0.0429285,0.00346727,0.563976,0.0141756,-0.00120606,-0.0117997,-0.0429281,0.595104886,-0.563976,-1.1799%,,,
537,169.362,-0.0405077,0.00345295,0.556083,0.014169,-0.00131561,-0.0117914,-0.0405067,0.584798518,-0.556083,-1.1791%,,,
538,168.067,-0.0382074,0.00343924,0.551602,0.0141625,-0.00142517,-0.0117862,-0.0382063,0.578022749,-0.551602,-1.1786%,,,
539,166.705,-0.0360285,0.00342615,0.546908,0.0141559,-0.00153473,-0.0117801,-0.0360280,0.571156336,-0.546908,-1.1780%,,,
540,163.367,-0.0321624,0.00340249,0.535498,0.0141493,0.00146979,-0.0118057,-0.0321619,0.555854584,-0.535498,-1.1805%,,,
541,158.696,-0.0272814,0.00337174,0.519677,0.0141427,0.00137177,-0.0118774,-0.0272812,0.535081651,-0.519677,-1.1877%,,,
542,160.13,-0.0287139,0.00338069,0.524507,0.0141362,0.00127375,-0.0118717,-0.0287135,0.54134989,-0.524507,-1.1871%,,,
543,158.578,-0.0271307,0.00337071,0.519264,0.0141296,0.00117572,-0.0118748,-0.0271303,0.53452045,-0.519264,-1.1874%,,,
544,159.147,-0.0270481,0.00337019,0.521173,0.014123,0.0010777,-0.0118646,-0.0270470,0.536355628,-0.521173,-1.1864%,,,
545,157.216,-0.0255777,0.00336084,0.514668,0.0141164,0.000979679,-0.0118671,-0.0255767,0.528377821,-0.514668,-1.1867%,,,
546,155.989,-0.0242115,0.00335209,0.510543,0.0141099,0.000881657,-0.0118656,-0.0242115,0.522889167,-0.510543,-1.1865%,,,
547,154.342,-0.0229495,0.00334391,0.505024,0.0141033,0.000783635,-0.0118672,-0.0229488,0.516105757,-0.505024,-1.1867%,,,
548,151.001,-0.0207932,0.00332963,0.493877,0.0146978,0.000685613,-0.0118927,-0.0207925,0.50277746,-0.493877,-1.1892%,,,
549,148.052,-0.0189781,0.00331737,0.484078,0.0146934,0.000587591,-0.0119133,-0.0189774,0.491143263,-0.484078,-1.1912%,,,
550,148.335,-0.0189275,0.00331703,0.485012,0.014689,0.000489569,-0.0119083,-0.0189271,0.492031645,-0.485012,-1.1907%,,,
551,148.944,-0.0188769,0.00331669,0.487028,0.0146847,0.000391546,-0.011904,-0.0188767,0.494001075,-0.487028,-1.1904%,,,
552,150.032,-0.0196704,0.00332197,0.490634,0.0146803,0.000293524,-0.0119022,-0.0196692,0.498401803,-0.490634,-1.1901%,,,
553,148.475,-0.0187844,0.003316,0.485462,0.0146759,0.000195502,-0.0119033,-0.0187833,0.4923431,-0.485462,-1.1902%,,,
554,148.001,-0.0187344,0.00331566,0.483887,0.0146715,9.75E-05,-0.0119006,-0.0187336,0.490720996,-0.483887,-1.1900%,,,
555,145.75,-0.0172543,0.0033055,0.476432,0.0146671,-5.42E-07,-0.0119101,-0.0172536,0.481776625,-0.476432,-1.1909%,,,
556,142.614,-0.0160446,0.00329701,0.466076,0.0146627,-9.86E-05,-0.0119206,-0.0160436,0.470199784,-0.466076,-1.1920%,,,
557,144.186,-0.0165703,0.00330065,0.471258,0.0146584,-0.000196586,-0.0119206,-0.0165693,0.475907521,-0.471258,-1.1920%,,,
558,146.792,-0.0178329,0.00330925,0.479865,0.014654,-0.000294608,-0.0119274,-0.0178328,0.485771426,-0.479865,-1.1926%,,,
559,145.228,-0.0171191,0.00330432,0.474691,0.0146496,-0.000392631,-0.0119299,-0.0171181,0.479879785,-0.474691,-1.1929%,,,
560,146.522,-0.0177485,0.00330861,0.478963,0.0146452,-0.000490653,-0.0119274,-0.0177480,0.484784154,-0.478963,-1.1927%,,,
561,144.788,-0.0164405,0.00329956,0.473229,0.0146408,-0.000588675,-0.0119323,-0.0164391,0.477736693,-0.473229,-1.1931%,,,
562,147.577,-0.0176826,0.00330797,0.482442,0.0146364,-0.000686697,-0.0119447,-0.0176818,0.488180289,-0.482442,-1.1944%,,,
563,145.875,-0.0169801,0.00330314,0.476809,0.0146321,-0.000784719,-0.0119434,-0.0169790,0.481845548,-0.476809,-1.1942%,,,
564,147.667,-0.0176006,0.00330733,0.482729,0.0146277,-0.000882741,-0.011946,-0.0175996,0.488383499,-0.482729,-1.1945%,,,
565,147.349,-0.0175555,0.00330701,0.481671,0.0146233,-0.000980763,-0.0119416,-0.0175545,0.487284616,-0.481671,-1.1941%,,,
566,145.215,-0.0168671,0.00330226,0.474615,0.0146189,-0.00107879,-0.0119444,-0.0168668,0.479537686,-0.474615,-1.1944%,,,
567,144.037,-0.0162464,0.00329793,0.470723,0.0146145,-0.00117681,-0.0119447,-0.0162453,0.475023943,-0.470723,-1.1944%,,,
568,144.162,-0.0162095,0.00329766,0.47113,0.0146101,-0.00127483,-0.0119418,-0.0162087,0.475397261,-0.47113,-1.1941%,,,
569,143.396,-0.0156533,0.00329376,0.4686,0.0146058,-0.00137285,-0.0119407,-0.0156519,0.472312009,-0.4686,-1.1940%,,,
570,141.236,-0.0151624,0.00329053,0.461518,0.0146014,0.0268322,-0.0119399,-0.0151621,0.464741295,-0.461518,-1.1939%,,,
571,140.993,-0.0151359,0.00329058,0.460751,0.014597,0.0268335,-0.0119382,-0.0151357,0.463948746,-0.460751,-1.1938%,,,
572,143.866,-0.0160872,0.00329743,0.470244,0.0145926,0.0268347,-0.0119436,-0.0160870,0.474388064,-0.470244,-1.1943%,,,
573,142.48,-0.0155498,0.00329389,0.465709,0.0145882,0.026836,-0.0119446,-0.0155487,0.469313447,-0.465709,-1.1944%,,,
574,141.613,-0.0150682,0.00329073,0.462886,0.0145838,0.0268373,-0.011944,-0.0150675,0.466010147,-0.462886,-1.1943%,,,
575,143.657,-0.0160024,0.00329747,0.46965,0.0145795,0.0268386,-0.011948,-0.0160016,0.473704648,-0.46965,-1.1947%,,,
576,146.498,-0.017151,0.00330555,0.479057,0.0145751,0.0268399,-0.0119518,-0.0171504,0.484256464,-0.479057,-1.1951%,,,
577,148.376,-0.0177939,0.00331012,0.485298,0.0145707,0.0268412,-0.0119495,-0.0177931,0.491142365,-0.485298,-1.1949%,,,
