tau,s_tmp,cash,delta,pv,r,q,PL,
394,198.474,0.705852,0.0015218,1.01007,0.0151093,0.0269121,-0.218%,
395,200.787,0.707415,0.00151428,1.01366,0.0151027,0.0269403,-0.220%,
396,197.97,0.703397,0.00153483,1.00944,0.0150962,0.0269685,-0.220%,
397,193.598,0.699747,0.00155395,1.00276,0.0150896,0.0269967,-0.217%,
398,195.465,0.701238,0.00154659,1.00571,0.015083,0.0270249,-0.217%,
399,195.305,0.699717,0.00155464,1.00553,0.0150764,0.0270531,-0.218%,
400,196.012,0.700431,0.00155126,1.00669,0.0150699,0.0270813,-0.220%,
401,201.213,0.705223,0.0015277,1.01477,0.0150633,0.0271095,-0.215%,
402,202.449,0.70726,0.00151789,1.01672,0.0150567,0.0271377,-0.217%,
403,199.544,0.702462,0.0015422,1.01236,0.0150501,0.0271659,-0.216%,
404,199.179,0.702065,0.00154445,1.01187,0.0150436,0.0271941,-0.218%,
405,199.473,0.701669,0.0015467,1.0124,0.015037,0.0272223,-0.220%,
406,198.003,0.699542,0.0015577,1.01019,0.0150304,0.0272506,-0.222%,
407,196.059,0.6977,0.00156736,1.00722,0.0150238,0.0272788,-0.223%,
408,202.084,0.705063,0.00153119,1.01665,0.0150173,0.027307,-0.216%,
409,203.767,0.707556,0.00151921,1.01929,0.0150107,0.0273352,-0.217%,
410,205.021,0.710348,0.00150584,1.02127,0.0150041,0.0273634,-0.220%,
411,204.961,0.709943,0.00150808,1.02127,0.0149975,0.0273916,-0.223%,
412,206.252,0.713034,0.00149334,1.0233,0.014991,0.0274198,-0.226%,
413,208.717,0.716444,0.00147726,1.02704,0.0149844,0.027448,-0.227%,
414,210.914,0.724565,0.001439,1.03034,0.0149778,0.0274762,-0.227%,
415,211.632,0.724165,0.00144114,1.03147,0.0149712,0.0275044,-0.231%,
416,211.732,0.723761,0.0014433,1.03171,0.0149647,0.0275326,-0.236%,
417,212.656,0.728073,0.00142327,1.03314,0.0149581,0.0275608,-0.240%,
418,212.339,0.727676,0.00142539,1.03279,0.0149515,0.027589,-0.245%,
419,212.619,0.727275,0.00142752,1.03329,0.0149449,0.0276172,-0.250%,
420,213.776,0.731847,0.00140628,1.03502,0.0149384,0.00144764,-0.254%,
421,210.661,0.721708,0.00145456,1.03063,0.0149318,0.0013511,-0.250%,
422,205.983,0.708917,0.00151681,1.02371,0.0149252,0.00125455,-0.236%,
423,199.603,0.694804,0.00158766,1.01384,0.0149186,0.00115801,-0.213%,
424,202.173,0.698667,0.0015687,1.01794,0.0149121,0.00106147,-0.213%,
425,204.035,0.701039,0.00155722,1.02091,0.0149055,0.000964922,-0.214%,
426,204.533,0.703732,0.00154419,1.02174,0.0148989,0.000868378,-0.217%,
427,201.893,0.697261,0.00157639,1.01767,0.0148923,0.000771835,-0.215%,
428,198.058,0.69109,0.00160769,1.01161,0.0148858,0.000675291,-0.210%,
429,194.496,0.688569,0.0016208,1.0059,0.0148792,0.000578747,-0.209%,
430,198.051,0.69022,0.00161261,1.01169,0.0148726,0.000482204,-0.209%,
431,197.988,0.689752,0.00161512,1.01163,0.014866,0.00038566,-0.210%,
432,197.452,0.68928,0.00161765,1.01081,0.0148595,0.000289116,-0.212%,
433,197.211,0.688801,0.00162023,1.01046,0.0148529,0.000192573,-0.213%,
434,193.773,0.6861,0.00163431,1.00489,0.0148463,9.60E-05,-0.211%,
435,192.611,0.685715,0.00163645,1.00302,0.0148397,-5.15E-07,-0.211%,
436,193.998,0.685673,0.00163681,1.00533,0.0148332,-9.71E-05,-0.212%,
437,193.012,0.68493,0.00164081,1.00374,0.0148266,-0.000193602,-0.212%,
438,191.431,0.684578,0.00164279,1.00117,0.01482,-0.000290146,-0.211%,
439,187.81,0.686063,0.00163502,0.995254,0.0148134,-0.000386689,-0.212%,
440,188.238,0.684988,0.00164088,0.995974,0.0148068,-0.000483233,-0.211%,
441,185.425,0.686749,0.00163153,0.991391,0.0148003,-0.000579777,-0.211%,
442,185.5,0.686641,0.00163226,0.991528,0.0147937,-0.00067632,-0.210%,
443,186.764,0.685362,0.00163926,0.993609,0.0147871,-0.000772864,-0.209%,
444,182.384,0.688986,0.00161953,0.986492,0.0147805,-0.000869408,-0.213%,
