numMC,PL
366,0.713712
367,-0.415835
368,-0.111092
369,0.539864
370,2.02765
371,0.277692
372,1.5169
373,0.750503
374,0.570996
375,-0.750315
376,0.913173
377,-0.172587
378,0.421333
379,1.17048
380,-0.0727425
381,1.2209
382,-1.16616
383,0.856234
384,-0.92851
385,1.50806
386,0.0010482
387,1.82395
388,-1.03633
389,1.82307
390,0.549706
391,0.559217
392,1.1204
393,1.54366
394,-0.111664
395,0.921735
396,0.0428713
397,0.0675599
398,-1.23115
399,-0.46219
400,-0.023386
401,0.103484
402,1.76522
403,-0.0507814
404,-1.94097
405,0.340868
406,0.554422
407,0.614668
408,-1.48603
409,0.0550354
410,0.933054
411,-0.177793
412,0.467108
413,-0.606463
414,1.19017
415,-0.39216
416,-0.457397
417,-0.174662
418,0.221077
419,-0.387178
420,0.213141
421,-0.339991
422,1.43672
423,-0.0217216
424,0.775788
425,0.307706
426,-1.36979
427,0.587582
428,1.31812
429,-0.528232
430,1.22353
431,0.492197
432,0.200103
433,0.115014
434,0.756576
435,0.466732
436,0.582032
437,0.977966
438,0.897173
439,1.14006
440,0.395118
441,0.268336
442,-0.328134
443,0.664068
444,-0.645002
445,1.31713
446,-1.39889
447,0.215292
448,1.35862
449,0.654234
450,-0.0804479
451,-0.874958
452,-0.901293
453,0.482143
454,2.37011
455,-0.951228
456,1.95118
457,0.188304
458,0.147004
459,1.85894
460,0.384978
461,0.846102
462,0.0367122
463,1.32485
464,0.485851
465,1.54899
466,-0.632576
467,-0.486624
468,0.870821
469,0.849771
470,-0.196643
471,0.716772
472,0.0864461
473,2.31135
474,-0.897412
475,0.364429
476,0.461645
477,-0.256114
478,-0.135485
479,1.07629
480,-1.66861
481,-1.03604
482,0.0388959
483,2.22316
484,0.766342
485,0.288065
486,0.58825
487,-0.0546771
488,-0.0990564
489,1.0039
490,1.50493
491,0.934636
492,1.45658
493,-0.19823
494,-0.578655
495,1.34682
496,0.0462936
497,1.50487
498,-0.0325379
499,0.338342
500,0.989498
501,-1.15881
502,1.57507
503,0.199138
504,0.623603
505,2.35788
506,0.283268
507,0.262133
508,-1.53471
509,2.13738
510,1.32491
511,0.503734
512,0.816156
513,1.01928
514,-2.16365
515,-0.130261
516,0.839585
517,0.650493
518,1.41771
519,0.793976
520,0.53643
521,1.55902
522,0.636209
523,-0.178341
524,-1.77502
525,0.24847
526,0.463396
527,-1.20588
528,-0.782374
529,0.859272
530,-0.30945
531,0.997346
532,0.246107
533,0.114713
534,1.72799
535,0.0150307
536,-0.805679
537,1.05137
538,-0.570299
539,1.24316
540,0.664727
541,1.13484
542,0.792049
543,1.06778
544,0.701658
545,-0.608444
546,2.16464
547,-0.505097
548,-0.545003
549,2.31977
550,0.524168
551,2.17743
552,1.2163
553,0.296833
554,2.54888
555,-0.0189993
556,1.74988
557,0.414452
558,1.90294
559,0.661794
560,-1.06604
561,0.825802
562,-0.433993
563,0.592273
564,1.9693
565,-0.0871737
566,0.59185
567,1.07078
568,0.593442
569,0.879897
570,0.149092
571,-0.485926
572,-0.406363
573,-1.19168
574,1.66321
575,0.14373
576,1.69537
577,0.74355
578,-0.632507
579,0.139964
580,1.42052
581,0.819665
582,0.869932
583,1.26643
584,0.690195
585,-0.347406
586,0.83449
587,-0.496262
588,1.05099
589,0.617627
590,1.16154
591,0.533582
592,0.685142
593,1.36413
594,1.45276
595,-0.172013
596,0.193805
597,-0.771939
598,-1.80116
599,0.224006
