tau,s_tmp,cash,delta,pv,r,q,PL
301,250.188,0.13811,0.00326297,0.957133,0.0154611,0.0332289,-0.00266686
302,248.15,0.112081,0.00336818,0.950712,0.0154523,0.0332882,-0.00281634
303,251.513,0.165714,0.00315527,0.961908,0.0154436,0.0333474,-0.00260356
304,250.9,0.166193,0.00315368,0.960261,0.0154348,0.0334067,-0.00281128
305,252.5,0.192701,0.00304901,0.965529,0.015426,0.0334659,-0.00295328
306,248.705,0.114723,0.00336286,0.953694,0.0154173,0.0335252,-0.00261091
307,244.919,0.0634588,0.0035725,0.940883,0.0154085,0.0335844,-0.00245099
308,243.622,0.0408602,0.0036656,0.936472,0.0153997,0.0336437,-0.00259059
309,241.268,-0.00543152,0.00385781,0.927933,0.015391,0.0337029,-0.00259695
310,238.257,-0.0525836,0.00405607,0.916417,0.0153822,0.0337621,-0.00261251
311,237.431,-0.0524443,0.00405585,0.913371,0.0153734,0.0338214,-0.00282984
312,234.897,-0.100257,0.00425977,0.903122,0.0153647,0.0338806,-0.00277206
313,235.636,-0.0759939,0.00415718,0.906531,0.0153559,0.0339399,-0.0029437
314,235.328,-0.100135,0.00426014,0.905534,0.0153471,0.0339991,-0.00313943
315,233.912,-0.124425,0.00436436,0.899782,0.0153384,0.0340584,-0.00333139
316,233.325,-0.124414,0.0043647,0.897551,0.0153296,0.0341176,-0.0035723
317,230.021,-0.171285,0.00456885,0.883037,0.0153208,0.0341769,-0.00338997
318,230.817,-0.17133,0.00456944,0.886967,0.0153121,0.0342361,-0.00359188
319,232.236,-0.148293,0.00447065,0.893645,0.0153033,0.0342954,-0.00369252
320,233.708,-0.123791,0.0043662,0.900409,0.0152945,0.0343546,-0.00378367
321,231.897,-0.148326,0.00447239,0.892748,0.0152858,0.0344139,-0.00394039
322,229.185,-0.192801,0.00466684,0.880673,0.015277,0.0344731,-0.00390373
323,230.835,-0.171324,0.00457421,0.888552,0.0152682,0.0345324,-0.00398815
324,227.234,-0.214317,0.00476381,0.872089,0.0152595,0.0345916,-0.00390532
325,225.725,-0.235906,0.00485987,0.865109,0.0152507,0.0346509,-0.00402147
326,228.124,-0.192988,0.00467215,0.8769,0.0152419,0.0347101,-0.00405731
