PX%,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,PX,델타(발행시),델타(6개월),델타(12개월),델타(18개월),델타(24개월),델타(30개월),델타(만기),감마(발행시),감마(6개월),감마(12개월),감마(18개월),감마(24개월),감마(30개월),감마(만기),,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,발행시 VEGA,6개월후VEGA,12개월후VEGA,18개월후VEGA,24개월후VEGA,30개월후VEGA,만기VEGA
23%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,66.8745,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955991,0.964377,0.971861,0.979089,0.986093,0.993078,1,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
23%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,68.3606,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955997,0.964377,0.971861,0.979089,0.986093,0.993078,1,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
24%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,69.8467,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956004,0.964377,0.971861,0.979089,0.986093,0.993078,1,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
24%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,71.3328,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956012,0.964378,0.971861,0.979089,0.986093,0.993078,1,-0.002%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
25%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,72.8189,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956021,0.964378,0.971861,0.979089,0.986093,0.993078,1,-0.002%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
25%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,74.305,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956031,0.964379,0.971861,0.979089,0.986093,0.993078,1,-0.002%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
26%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,75.7911,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956043,0.964379,0.971861,0.979089,0.986093,0.993078,1,-0.003%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
26%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,77.2772,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956056,0.96438,0.971861,0.979089,0.986093,0.993078,1,-0.003%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
27%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,78.7633,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.95607,0.964381,0.971861,0.979089,0.986093,0.993078,1,-0.003%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
27%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,80.2494,0.07%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956086,0.964383,0.971861,0.979089,0.986093,0.993078,1,-0.004%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
28%,95.61%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,81.7355,0.08%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956104,0.964384,0.971861,0.979089,0.986093,0.993078,1,-0.004%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
28%,95.61%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,83.2216,0.09%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956124,0.964386,0.971862,0.979089,0.986093,0.993078,1,-0.005%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
29%,95.61%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,84.7077,0.10%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956145,0.964388,0.971862,0.979089,0.986093,0.993078,1,-0.005%,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%
29%,95.61%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,86.1938,0.11%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956169,0.964391,0.971862,0.979089,0.986093,0.993078,1,-0.006%,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%
30%,95.61%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,87.6799,0.12%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956195,0.964393,0.971862,0.979089,0.986093,0.993078,1,-0.006%,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%
30%,95.62%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,89.166,0.14%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.956224,0.964397,0.971862,0.979089,0.986093,0.993078,1,-0.007%,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%
