tau,s_tmp,cash,delta,pv,r_for,q,PL,delta,,
34,280.759,0.385232,0.00206913,0.968516,0.0180485,0.133321,-0.24%,0.58092687,,
35,280.429,0.386835,0.0020635,0.968101,0.0180529,0.00388886,-0.26%,0.578665242,,
36,283.575,0.433221,0.00190001,0.974665,0.0180573,0.00277777,-0.26%,0.538795336,,
37,281.347,0.390511,0.0020519,0.970544,0.0180618,0.00166668,-0.27%,0.577295909,,
38,280.356,0.392205,0.00204593,0.968787,0.0180662,0.000555594,-0.30%,0.573588751,,
39,280.277,0.393923,0.00203986,0.9689,0.0180706,-0.000555494,-0.33%,0.571725841,,
40,275.163,0.300821,0.00237828,0.95782,0.0180751,-0.00166658,-0.26%,0.65441466,,
41,280.403,0.399159,0.00202761,0.969713,0.0180795,-0.00277767,-0.20%,0.568547927,,
42,278.242,0.352236,0.0021963,0.965428,0.0180839,-0.00388876,-0.21%,0.611102905,,
43,274.294,0.307803,0.00235836,0.956694,0.0180884,0.00198468,-0.20%,0.646883998,,
44,273.544,0.295025,0.00240514,0.955239,0.0180928,0.00119107,-0.23%,0.657911616,,
45,273.844,0.29759,0.00239583,0.956293,0.0180972,0.000397466,-0.26%,0.656083671,,
46,272.172,0.28071,0.0024579,0.952461,0.0181017,-0.000396141,-0.28%,0.668971559,,
47,274.575,0.31516,0.00233248,0.958419,0.0181061,-0.00118975,-0.28%,0.640440696,,
48,272.717,0.298584,0.0023933,0.954183,0.0181105,-0.00198335,-0.29%,0.652693596,,
49,278.511,0.361358,0.00216795,0.967649,0.018115,-0.00277696,-0.25%,0.603797922,,
50,275.922,0.337527,0.0022544,0.962137,0.0181194,0.0024998,-0.26%,0.622038557,,
51,275.875,0.337879,0.00225319,0.962233,0.0181238,0.00194425,-0.28%,0.621598791,,
52,278.642,0.362791,0.00216386,0.968528,0.0181283,0.00138871,-0.28%,0.602942278,,
53,276.247,0.338784,0.00225083,0.963493,0.0181327,0.000833159,-0.29%,0.621785035,,
54,276.732,0.339122,0.00224967,0.964779,0.0181371,0.000277612,-0.31%,0.622555678,,
55,278.153,0.364106,0.00215991,0.968089,0.0181416,-0.000277935,-0.32%,0.600785446,,
56,279.406,0.388597,0.00207232,0.970935,0.018146,-0.000833482,-0.33%,0.579018642,,
57,280.398,0.412553,0.00198694,0.973145,0.0181504,-0.00138903,-0.35%,0.557134002,,
58,280.624,0.413001,0.00198541,0.973795,0.0181548,-0.00194458,-0.36%,0.557153696,,
