PX, vold, vold-volup,바닐라옵션 베가,바닐라옵션 vega(%),조기상환형 vega(%),헤지후 Net vega
282.359,13.4446,14.4578,1.0132,0.90%,-0.955%,-0.05%
283.845,12.7627,13.7717,1.009,0.90%,-0.942%,-0.04%
285.331,12.0995,13.1034,1.0039,0.90%,-0.927%,-0.03%
286.817,11.4544,12.4523,0.9979,0.89%,-0.911%,-0.02%
288.303,10.8268,11.8179,0.9911,0.88%,-0.895%,-0.01%
289.789,10.216,11.1997,0.9837,0.88%,-0.878%,0.00%
291.276,9.6215,10.5971,0.9756,0.87%,-0.860%,0.01%
292.762,9.0564,10.022,0.9656,0.86%,-0.841%,0.02%
294.248,8.51947,9.47351,0.95404,0.85%,-0.821%,0.03%
295.734,8.00951,8.95049,0.94098,0.84%,-0.799%,0.04%
296.477,7.52534,8.45196,0.92662,0.83%,-0.777%,0.05%
297.963,7.06582,7.97695,0.91113,0.81%,-0.754%,0.06%
300.192,6.62985,7.52451,0.89466,0.80%,-0.731%,0.07%
301.678,6.21637,7.09373,0.87736,0.78%,-0.706%,0.08%
303.164,5.82436,6.68372,0.85936,0.77%,-0.682%,0.08%
304.65,5.45283,6.29364,0.84081,0.75%,-0.658%,0.09%
306.137,5.10086,5.92268,0.82182,0.73%,-0.633%,0.10%
307.623,4.77135,5.57357,0.80222,0.72%,-0.609%,0.11%
309.109,4.46325,5.2454,0.78215,0.70%,-0.584%,0.11%
310.595,4.17555,4.9373,0.76175,0.68%,-0.560%,0.12%
312.081,3.90733,4.64844,0.74111,0.66%,-0.536%,0.12%
313.567,3.6577,4.37803,0.72033,0.64%,-0.513%,0.13%
315.053,3.4258,4.12532,0.69952,0.62%,-0.490%,0.13%
316.539,3.21085,3.88959,0.67874,0.61%,-0.468%,0.14%
318.025,3.01207,3.67014,0.65807,0.59%,-0.447%,0.14%
319.512,2.82876,3.46634,0.63758,0.57%,-0.426%,0.14%
320.998,2.6562,3.27353,0.61733,0.55%,-0.406%,0.14%
322.484,2.49391,3.09132,0.59741,0.53%,-0.386%,0.15%
323.97,2.34149,2.91927,0.57778,0.52%,-0.367%,0.15%
325.456,2.19849,2.75701,0.55852,0.50%,-0.349%,0.15%
326.942,2.06451,2.60415,0.53964,0.48%,-0.331%,0.15%
328.428,1.93916,2.46032,0.52116,0.46%,-0.315%,0.15%
329.914,1.82207,2.32516,0.50309,0.45%,-0.298%,0.15%
331.4,1.71286,2.19833,0.48547,0.43%,-0.282%,0.15%
332.886,1.61119,2.07948,0.46829,0.42%,-0.268%,0.15%
334.373,1.51671,1.96829,0.45158,0.40%,-0.254%,0.15%
335.859,1.42764,1.86294,0.4353,0.39%,-0.241%,0.15%
337.345,1.34376,1.7632,0.41944,0.37%,-0.228%,0.15%
338.831,1.26481,1.66883,0.40402,0.36%,-0.216%,0.14%
340.317,1.19057,1.57961,0.38904,0.35%,-0.204%,0.14%
341.803,1.12082,1.49532,0.3745,0.33%,-0.192%,0.14%
343.289,1.05535,1.41575,0.3604,0.32%,-0.182%,0.14%
344.775,0.993947,1.3407,0.346753,0.31%,-0.172%,0.14%
346.261,0.936425,1.26997,0.333545,0.30%,-0.163%,0.13%
347.747,0.882589,1.20337,0.320781,0.29%,-0.153%,0.13%
349.234,0.83226,1.14072,0.30846,0.28%,-0.145%,0.13%
350.72,0.784944,1.0815,0.296556,0.26%,-0.136%,0.13%
352.206,0.740492,1.02558,0.285088,0.25%,-0.128%,0.13%
353.692,0.698761,0.972787,0.274026,0.24%,-0.122%,0.12%
355.178,0.659616,0.922995,0.263379,0.23%,-0.114%,0.12%
356.664,0.622928,0.876065,0.253137,0.23%,-0.108%,0.12%
358.15,0.588572,0.831866,0.243294,0.22%,-0.102%,0.11%
359.636,0.556432,0.790273,0.233841,0.21%,-0.096%,0.11%
361.122,0.526397,0.751168,0.224771,0.20%,-0.090%,0.11%
362.608,0.498359,0.714437,0.216078,0.19%,-0.086%,0.11%
364.095,0.472219,0.679972,0.207753,0.19%,-0.081%,0.10%
365.581,0.447533,0.647274,0.199741,0.18%,-0.076%,0.10%
367.067,0.424228,0.616265,0.192037,0.17%,-0.072%,0.10%
368.553,0.402237,0.586869,0.184632,0.16%,-0.068%,0.10%
370.039,0.381494,0.559011,0.177517,0.16%,-0.064%,0.09%
371.525,0.361938,0.532624,0.170686,0.15%,-0.061%,0.09%
373.011,0.34351,0.507641,0.164131,0.15%,-0.058%,0.09%
374.497,0.326156,0.483998,0.157842,0.14%,-0.055%,0.09%
375.983,0.309822,0.461636,0.151814,0.14%,-0.051%,0.08%
377.469,0.294458,0.440496,0.146038,0.13%,-0.049%,0.08%
378.956,0.280018,0.420525,0.140507,0.13%,-0.046%,0.08%
380.442,0.266292,0.401468,0.135176,0.12%,-0.043%,0.08%
381.928,0.253246,0.383285,0.130039,0.12%,-0.041%,0.07%
383.414,0.240848,0.365936,0.125088,0.11%,-0.038%,0.07%
384.9,0.229066,0.349386,0.12032,0.11%,-0.036%,0.07%
386.386,0.217871,0.3336,0.115729,0.10%,-0.035%,0.07%
387.872,0.207236,0.318543,0.111307,0.10%,-0.033%,0.07%
389.358,0.197133,0.304183,0.10705,0.10%,-0.030%,0.07%
390.844,0.187536,0.29049,0.102954,0.09%,-0.030%,0.06%
392.33,0.178423,0.277435,0.099012,0.09%,-0.028%,0.06%
393.817,0.16977,0.264989,0.095219,0.08%,-0.026%,0.06%
395.303,0.161547,0.253117,0.09157,0.08%,-0.025%,0.06%
396.789,0.153736,0.241794,0.088058,0.08%,-0.023%,0.06%
398.275,0.146316,0.230996,0.08468,0.08%,-0.022%,0.05%
399.761,0.139268,0.2207,0.081432,0.07%,-0.020%,0.05%
401.247,0.132576,0.210884,0.078308,0.07%,-0.019%,0.05%
