PX, vold,µ¨Å¸%,µ¨Å¸$,°¨¸¶$,°¨¸¶$2
342.487,0.12879,-0.007935714,-2.717878979,49.78%,66.34%
343.957,0.117583,-0.007336849,-2.523560664,46.22%,62.08%
345.426,0.107227,-0.00677887,-2.341598074,43.97%,59.48%
346.896,0.0976599,-0.006237993,-2.163934888,44.24%,57.91%
348.366,0.0888873,-0.005717789,-1.991883323,41.27%,55.10%
349.836,0.0808496,-0.005236871,-1.832045915,38.46%,51.35%
351.306,0.0734909,-0.004792687,-1.683699726,35.80%,47.81%
352.776,0.0667591,-0.004382755,-1.546130814,33.31%,44.47%
354.246,0.0606056,-0.004004762,-1.418670886,30.95%,41.33%
355.716,0.0549851,-0.003656531,-1.300686443,28.74%,38.38%
357.186,0.0498554,-0.003335884,-1.191531189,26.68%,35.57%
358.656,0.0451776,-0.003041953,-1.091014711,24.56%,32.98%
360.125,0.0409151,-0.002770738,-0.997812147,23.10%,30.70%
361.595,0.0370344,-0.002520136,-0.911268597,21.31%,28.48%
363.065,0.0335059,-0.002290374,-0.831554691,19.72%,26.34%
364.535,0.0303007,-0.002079592,-0.75808401,18.23%,24.34%
366.005,0.0273919,-0.001886429,-0.690442289,16.83%,22.48%
367.475,0.0247546,-0.001709524,-0.628207262,15.54%,20.75%
368.945,0.0223659,-0.001547551,-0.570961211,14.34%,19.15%
370.415,0.0202048,-0.00139932,-0.518329017,13.22%,17.66%
371.885,0.0182519,-0.00126381,-0.469991805,12.17%,16.25%
373.355,0.0164892,-0.001140286,-0.425731409,11.16%,14.98%
374.824,0.0149006,-0.001026948,-0.384924735,10.41%,13.61%
376.294,0.013471,-0.000926701,-0.348711906,8.83%,12.07%
377.764,0.0121761,-0.000839014,-0.316949136,8.13%,10.86%
379.234,0.0110043,-0.000758884,-0.287794749,7.49%,10.00%
380.704,0.00994498,-0.000685741,-0.261064531,6.88%,9.19%
382.174,0.00898822,-0.00061901,-0.236569606,6.33%,8.45%
383.644,0.00812509,-0.000558099,-0.214111194,5.82%,7.78%
385.114,0.00734741,-0.00050252,-0.193527644,5.35%,7.15%
386.584,0.00664768,-0.00045181,-0.174662333,4.92%,6.57%
388.054,0.00601909,-0.000405665,-0.157420001,4.50%,6.04%
389.523,0.00545543,-0.000363403,-0.141553639,4.19%,5.40%
390.993,0.00495105,-0.000327272,-0.127961104,3.30%,4.61%
392.463,0.00449325,-0.000296946,-0.116540152,3.04%,4.05%
393.933,0.00407803,-0.000269235,-0.106060431,2.79%,3.73%
395.403,0.0037017,-0.000243929,-0.096450089,2.57%,3.43%
396.873,0.00336088,-0.000220813,-0.087634688,2.37%,3.16%
398.343,0.00305251,-0.000199701,-0.079549368,2.18%,2.91%
399.813,0.00277376,-0.000180415,-0.072132249,2.00%,2.68%
401.283,0.00252209,-0.000162793,-0.06532587,1.84%,2.46%
402.753,0.00229515,-0.000146744,-0.059101502,1.69%,2.26%
404.222,0.00209081,-0.000132014,-0.053363081,1.58%,2.02%
405.692,0.00190716,-0.00011952,-0.048488473,1.21%,1.71%
407.162,0.00173942,-0.000109153,-0.044442979,1.12%,1.49%
408.632,0.00158625,-9.96667E-05,-0.040726989,1.03%,1.38%
410.102,0.0014464,-9.09898E-05,-0.037315097,0.95%,1.27%
411.572,0.00131874,-8.3051E-05,-0.034181475,0.87%,1.17%
413.042,0.00120223,-7.57891E-05,-0.031304088,0.81%,1.08%
414.512,0.00109592,-6.91531E-05,-0.028664774,0.74%,0.99%
415.982,0.00099892,-6.30905E-05,-0.026244502,0.68%,0.91%
417.452,0.000910434,-5.75682E-05,-0.024031969,0.62%,0.84%
418.921,0.000829727,-5.25046E-05,-0.021995277,0.58%,0.77%
420.391,0.000756123,-4.78639E-05,-0.020121572,0.53%,0.71%
421.861,0.000689007,-4.36425E-05,-0.018411076,0.49%,0.65%
423.331,0.000627814,-3.97888E-05,-0.016843822,0.45%,0.60%
424.801,0.000572028,-3.62711E-05,-0.015407995,0.41%,0.55%
426.271,0.000521177,-3.30612E-05,-0.014093041,0.38%,0.51%
427.741,0.000474828,-3.01327E-05,-0.012888971,0.35%,0.46%
429.211,0.000432587,-2.74609E-05,-0.011786514,0.32%,0.43%
430.681,0.000394093,-2.50241E-05,-0.010777426,0.29%,0.39%
432.151,0.000359016,-2.28095E-05,-0.009857131,0.27%,0.36%
433.62,0.000327056,-2.07822E-05,-0.009011594,0.25%,0.33%
435.09,0.000297937,-1.89276E-05,-0.008235188,0.23%,0.30%
436.56,0.000271409,-1.72432E-05,-0.00752769,0.21%,0.28%
438.03,0.000247242,-1.57082E-05,-0.006880647,0.19%,0.26%
439.5,0.000225227,-1.43092E-05,-0.006288886,0.18%,0.23%
440.97,0.000205173,-1.3034E-05,-0.005747609,0.16%,0.21%
442.44,0.000186907,-1.18718E-05,-0.005252545,0.15%,0.20%
443.91,0.00017027,-1.08136E-05,-0.004800268,0.14%,0.18%
445.38,0.000155115,-9.84932E-06,-0.00438669,0.12%,0.17%
446.85,0.000141313,-8.97346E-06,-0.004009791,0.11%,0.15%
448.319,0.000128742,-8.17285E-06,-0.003664043,0.11%,0.14%
449.789,0.000117293,-7.44116E-06,-0.00334695,0.10%,0.13%
451.259,0.000106865,-6.77745E-06,-0.003058385,0.09%,0.12%
452.729,9.74E-05,-6.17269E-06,-0.002794554,0.08%,0.11%
454.199,8.87E-05,-5.6219E-06,-0.002553464,0.07%,0.10%
455.669,8.08E-05,-5.12041E-06,-0.002333211,0.07%,0.09%
457.139,7.37E-05,-4.66367E-06,-0.002131947,0.06%,0.08%
458.609,6.71E-05,-4.24776E-06,-0.001948059,0.06%,0.08%
460.079,6.12E-05,-3.86901E-06,-0.001780052,0.05%,0.07%
461.549,5.58E-05,-3.52531E-06,-0.001627105,0.05%,0.06%
463.018,5.08E-05,-3.21119E-06,-0.001486841,0.04%,0.06%
464.488,4.63E-05,-2.92415E-06,-0.001358232,0.04%,0.05%
465.958,4.22E-05,-2.66374E-06,-0.001241192,0.04%,0.05%
467.428,3.85E-05,-2.42663E-06,-0.001134276,0.03%,0.04%
468.898,3.51E-05,-2.21068E-06,-0.001036584,0.03%,0.04%
470.368,3.20E-05,-2.01408E-06,-0.00094736,0.03%,0.04%
471.838,2.92E-05,-1.83507E-06,-0.000865855,0.03%,0.03%
473.308,2.66E-05,-1.67201E-06,-0.000791374,0.02%,0.03%
474.778,2.42E-05,-1.5235E-06,-0.000723326,0.02%,0.03%
476.248,2.21E-05,-1.38877E-06,-0.0006614,0.02%,0.03%
477.717,2.02E-05,-1.26557E-06,-0.000604583,0.02%,0.02%
479.187,1.84E-05,-1.15299E-06,-0.000552499,0.02%,0.02%
480.657,1.68E-05,-1.05085E-06,-0.000505099,0.02%,0.02%
482.127,1.53E-05,-9.57789E-07,-0.000461776,0.01%,0.02%
483.597,1.40E-05,-8.73061E-07,-0.00042221,0.01%,0.02%
485.067,1.27E-05,-7.9585E-07,-0.000386041,0.01%,0.02%
486.537,1.16E-05,-7.25544E-07,-0.000353004,0.01%,0.01%
488.007,1.06E-05,-6.61473E-07,-0.000322803,0.01%,0.01%
489.477,9.67E-06,-6.03092E-07,-0.0002952,0.01%,0.01%
490.947,8.83E-06,-5.50109E-07,-0.000270074,0.01%,0.01%
492.416,8.06E-06,-5.0164E-07,-0.000247016,0.01%,0.01%
493.886,7.35E-06,-4.5732E-07,-0.000225864,0.01%,0.01%
495.356,6.71E-06,-4.17085E-07,-0.000206606,0.01%,0.01%
496.826,6.13E-06,-3.80422E-07,-0.000189003,0.01%,0.01%
498.296,5.59E-06,-3.47007E-07,-0.000172912,0.01%,0.01%
499.766,5.11E-06,-3.16548E-07,-0.0001582,0.00%,0.01%
501.236,4.66E-06,-2.88786E-07,-0.00014475,0.00%,0.01%
502.706,4.26E-06,-2.63483E-07,-0.000132454,0.00%,0.01%
504.176,3.89E-06,-2.40412E-07,-0.00012121,0.00%,0.01%
505.646,3.55E-06,-2.19452E-07,-0.000110965,0.00%,0.00%
507.115,3.24E-06,-2.00269E-07,-0.000101559,0.00%,0.00%
508.585,2.96E-06,-1.82714E-07,-9.29257E-05,0.00%,0.00%
510.055,2.71E-06,-1.66769E-07,-8.50612E-05,0.00%,0.00%
511.525,2.47E-06,-1.52224E-07,-7.78666E-05,0.00%,0.00%
512.995,2.26E-06,-1.38963E-07,-7.12871E-05,0.00%,0.00%
514.465,2.06E-06,-1.26871E-07,-6.52706E-05,0.00%,0.00%
515.935,1.89E-06,-1.15837E-07,-5.97642E-05,0.00%,0.00%
517.405,1.72E-06,-1.05769E-07,-5.47253E-05,0.00%,0.00%
518.875,1.58E-06,-9.6585E-08,-5.01156E-05,0.00%,0.00%
520.345,1.44E-06,-8.82409E-08,-4.59157E-05,0.00%,0.00%
521.814,1.32E-06,-8.05954E-08,-4.20558E-05,0.00%,0.00%
523.284,1.20E-06,-7.35884E-08,-3.85077E-05,0.00%,0.00%
524.754,1.10E-06,-6.72245E-08,-3.52763E-05,0.00%,0.00%
526.224,1.01E-06,-6.14187E-08,-3.232E-05,0.00%,0.00%
527.694,9.19E-07,-5.6117E-08,-2.96126E-05,0.00%,0.00%
529.164,8.40E-07,-5.12786E-08,-2.71348E-05,0.00%,0.00%
530.634,7.68E-07,-4.68626E-08,-2.48669E-05,0.00%,0.00%
532.104,7.02E-07,-4.2832E-08,-2.27911E-05,0.00%,0.00%
533.574,6.42E-07,-3.91527E-08,-2.08909E-05,0.00%,0.00%
535.044,5.87E-07,-3.58064E-08,-1.9158E-05,0.00%,0.00%
536.513,5.37E-07,-3.27397E-08,-1.75653E-05,0.00%,0.00%
537.983,4.91E-07,-2.99299E-08,-1.61018E-05,0.00%,0.00%
539.453,4.49E-07,-2.73755E-08,-1.47678E-05,0.00%,0.00%
540.923,4.10E-07,-2.50439E-08,-1.35468E-05,0.00%,0.00%
542.393,3.75E-07,-2.29156E-08,-1.24293E-05,0.00%,0.00%
543.863,3.43E-07,-2.09731E-08,-1.14065E-05,0.00%,0.00%
545.333,3.14E-07,-1.92007E-08,-1.04708E-05,0.00%,0.00%
546.803,2.87E-07,-1.75833E-08,-9.61462E-06,0.00%,0.00%
548.273,2.62E-07,-1.61078E-08,-8.83148E-06,0.00%,0.00%
549.743,2.39E-07,-1.47622E-08,-8.11544E-06,0.00%,0.00%
551.213,2.19E-07,-1.35403E-08,-7.4636E-06,0.00%,0.00%
552.682,2.00E-07,-1.24219E-08,-6.86537E-06,0.00%,0.00%
554.152,1.82E-07,-1.13986E-08,-6.31658E-06,0.00%,0.00%
555.622,1.66E-07,-1.04714E-08,-5.81816E-06,0.00%,0.00%
557.092,1.51E-07,-9.62823E-09,-5.36381E-06,0.00%,0.00%
558.562,1.38E-07,-8.86156E-09,-4.94973E-06,0.00%,0.00%
560.032,1.25E-07,-8.16531E-09,-4.57283E-06,0.00%,0.00%
561.502,1.14E-07,-7.53401E-09,-4.23036E-06,0.00%,0.00%
562.972,1.03E-07,-6.96262E-09,-3.91976E-06,0.00%,0.00%
564.442,9.32E-08,-6.44622E-09,-3.63852E-06,0.00%,0.00%
565.912,8.41E-08,-5.98275E-09,-3.38571E-06,0.00%,0.00%
567.381,7.56E-08,-5.56431E-09,-3.15708E-06,0.00%,0.00%
568.851,6.77E-08,-5.18779E-09,-2.95108E-06,0.00%,0.00%
570.321,6.04E-08,-4.85378E-09,-2.76821E-06,0.00%,0.00%
571.791,5.35E-08,-4.55769E-09,-2.60604E-06,0.00%,0.00%
573.261,4.70E-08,-4.29697E-09,-2.46329E-06,0.00%,0.00%
