numMC,PL ELS,,1.000,PL PUT,,,,,,total,,,
267,0.0162947,0.306552,0.001031398,0.017326098,,,,,,,,,
268,0.0114978,-0.556625,-0.001872771,0.009625029,,,,,,,,,
269,0.000219264,-0.0217138,-7.30563E-05,0.000146208,,,,,,,,,
270,0.000891242,-0.0282989,-9.5212E-05,0.00079603,,,,,,,,,
271,0.00192006,-0.858187,-0.00288738,-0.00096732,,,,,,,,,
272,0.00154229,-0.689595,-0.00232015,-0.00077786,,,,,,,,,
273,0.000585373,-0.356688,-0.001200081,-0.000614708,,,,,,,,,
274,0.000226434,-0.812735,-0.002734456,-0.002508022,,,,,,,,,
275,-0.00206716,-0.472919,-0.001591141,-0.003658301,,,,,,,,,
276,-0.00476082,1.86907,0.006288507,0.001527687,,,,,,,,,
277,-0.000300716,0.30197,0.001015981,0.000715265,,,,,,,,,
278,-0.00144392,0.657772,0.002213081,0.000769161,,,,,,,,,
279,-0.00219537,0.566636,0.001906453,-0.000288917,,,,,,,,,
280,-0.0107357,0.46779,0.001573885,-0.009161815,,,,,,,,,
281,-0.00680966,-0.0473607,-0.000159346,-0.006969006,,,,,,,,,
282,0.00394412,0.691566,0.002326782,0.006270902,,,,,,,,,
283,0.00143459,-0.39449,-0.001327266,0.000107324,,,,,,,,,
284,-0.000282293,0.538308,0.001811143,0.00152885,,,,,,,,,
285,-0.0129216,-0.312752,-0.001052258,-0.013973858,,,,,,,,,
286,0.00174049,-1.0968,-0.003690196,-0.001949706,,,,,,,,,
287,0.00251002,-0.998316,-0.003358845,-0.000848825,,,,,,,,,
288,0.00197208,-0.0822186,-0.000276625,0.001695455,,,,,,,,,
289,0.000467492,0.254961,0.000857819,0.001325311,,,,,,,,,
290,-0.00710114,0.325419,0.001094876,-0.006006264,,,,,,,,,
291,-0.0119814,0.0566217,0.000190504,-0.011790896,,,,,,,,,
292,-0.00320021,0.414017,0.001392965,-0.001807245,,,,,,,,,
293,-0.00568027,-0.176927,-0.000595273,-0.006275543,,,,,,,,,
294,0.0278564,-0.18051,-0.000607328,0.027249072,,,,,,,,,
295,-0.00045729,-0.629035,-0.002116395,-0.002573685,,,,,,,,,
296,-0.000102175,0.0528857,0.000177935,7.57595E-05,,,,,,,,,
297,0.00107669,-0.0567085,-0.000190796,0.000885894,,,,,,,,,
298,-0.00635956,2.38815,0.008034957,0.001675397,,,,,,,,,
299,0.00140272,0.0225209,7.57718E-05,0.001478492,,,,,,,,,
300,0.000500988,0.424111,0.001426926,0.001927914,,,,,,,,,
301,0.000976895,-0.535113,-0.001800394,-0.000823499,,,,,,,,,
302,-0.00328236,-0.34125,-0.001148139,-0.004430499,,,,,,,,,
303,0.0124142,-1.61726,-0.005441289,0.006972911,,,,,,,,,
304,0.00167838,0.463406,0.001559135,0.003237515,,,,,,,,,
305,0.00459057,-1.12914,-0.003799004,0.000791566,,,,,,,,,
306,-0.00178341,1.6745,0.005633874,0.003850464,,,,,,,,,
307,-0.00553294,1.68839,0.005680607,0.000147667,,,,,,,,,
308,-0.00239561,1.33059,0.004476785,0.002081175,,,,,,,,,
309,-0.00336961,1.17522,0.003954041,0.000584431,,,,,,,,,
310,0.000243504,-0.0789014,-0.000265465,-2.19606E-05,,,,,,,,,
311,0.00112539,-0.369101,-0.001241844,-0.000116454,,,,,,,,,
312,0.0206867,-0.78488,-0.002640738,0.018045962,,,,,,,,,
313,-0.0175188,0.421924,0.001419568,-0.016099232,,,,,,,,,
314,0.00356106,-0.324133,-0.001090549,0.002470511,,,,,,,,,
315,0.00461999,-0.716328,-0.002410094,0.002209896,,,,,,,,,
316,0.00270945,-1.2431,-0.004182424,-0.001472974,,,,,,,,,
317,-0.0030582,0.251926,0.000847608,-0.002210592,,,,,,,,,
318,-0.00211384,1.61018,0.005417469,0.003303629,,,,,,,,,
319,-0.00308412,-0.783631,-0.002636535,-0.005720655,,,,,,,,,
320,0.00129674,-0.47533,-0.001599253,-0.000302513,,,,,,,,,
321,-0.000549534,0.174082,0.000585701,3.61668E-05,,,,,,,,,
322,-0.002181,1.121,0.003771617,0.001590617,,,,,,,,,
323,-0.00934534,0.227837,0.00076656,-0.00857878,,,,,,,,,
324,-0.00518185,0.80457,0.002706985,-0.002474865,,,,,,,,,
325,0.000526237,0.580933,0.001954556,0.002480793,,,,,,,,,
326,0.000596156,-0.479946,-0.001614784,-0.001018628,,,,,,,,,
327,0.0179461,-0.837353,-0.002817283,0.015128817,,,,,,,,,
328,0.00342012,-0.125521,-0.000422317,0.002997803,,,,,,,,,
329,0.00200341,-0.372431,-0.001253048,0.000750362,,,,,,,,,
330,-0.00502329,2.86626,0.009643564,0.004620274,,,,,,,,,
331,-0.00115639,0.442836,0.001489927,0.000333537,,,,,,,,,
332,-0.00426738,1.38604,0.004663347,0.000395967,,,,,,,,,
333,0.00767408,-0.233808,-0.00078665,0.00688743,,,,,,,,,
334,0.00318921,-1.73049,-0.005822253,-0.002633043,,,,,,,,,
335,0.00461889,0.594323,0.001999606,0.006618496,,,,,,,,,
336,0.00122684,-0.0281175,-9.46016E-05,0.001132238,,,,,,,,,
337,-0.00714109,1.98493,0.006678319,-0.000462771,,,,,,,,,
338,-0.00989944,1.22974,0.004137474,-0.005761966,,,,,,,,,
339,0.00398999,0.112334,0.000377949,0.004367939,,,,,,,,,
340,0.00257909,0.982279,0.003304889,0.005883979,,,,,,,,,
341,-0.00316259,0.72662,0.002444721,-0.000717869,,,,,,,,,
342,-0.00421861,0.950117,0.003196679,-0.001021931,,,,,,,,,
343,-0.00159166,0.775082,0.002607772,0.001016112,,,,,,,,,
344,-0.00931761,0.430413,0.001448129,-0.007869481,,,,,,,,,
345,-0.000124965,0.452216,0.001521486,0.001396521,,,,,,,,,
346,0.000242641,0.312061,0.001049933,0.001292574,,,,,,,,,
347,0.0110619,-0.408762,-0.001375284,0.009686616,,,,,,,,,
348,-0.00370708,1.2359,0.004158199,0.000451119,,,,,,,,,
349,0.00235989,-1.10934,-0.003732387,-0.001372497,,,,,,,,,
350,0.00489966,-0.45549,-0.001532501,0.003367159,,,,,,,,,
351,0.0022247,-1.24233,-0.004179833,-0.001955133,,,,,,,,,
352,0.00435023,-0.783403,-0.002635768,0.001714462,,,,,,,,,
353,0.00206832,0.367673,0.00123704,0.00330536,,,,,,,,,
354,-0.000748004,-0.303875,-0.001022391,-0.001770395,,,,,,,,,
355,-0.00402352,1.08942,0.003665366,-0.000358154,,,,,,,,,
356,-0.00372013,1.00679,0.003387356,-0.000332774,,,,,,,,,
357,0.00142077,-0.78119,-0.002628322,-0.001207552,,,,,,,,,
358,0.00280249,-0.39603,-0.001332447,0.001470043,,,,,,,,,
359,0.000547338,-0.493777,-0.001661318,-0.00111398,,,,,,,,,
360,-0.0133148,0.0208409,7.01194E-05,-0.013244681,,,,,,,,,
361,0.00234148,-0.0854882,-0.000287626,0.002053854,,,,,,,,,
362,-0.00154636,0.570572,0.001919696,0.000373336,,,,,,,,,
363,0.00162348,-0.365731,-0.001230506,0.000392974,,,,,,,,,
364,0.00121807,-0.519765,-0.001748755,-0.000530685,,,,,,,,,
365,0.000678622,0.615066,0.002069396,0.002748018,,,,,,,,,
366,-0.00113737,0.950194,0.003196938,0.002059568,,,,,,,,,
367,-0.00396178,-0.508005,-0.001709188,-0.005670968,,,,,,,,,
368,0.00213305,-0.85296,-0.002869793,-0.000736743,,,,,,,,,
369,0.00267218,-1.11675,-0.003757318,-0.001085138,,,,,,,,,
370,0.00228911,0.0643426,0.000216481,0.002505591,,,,,,,,,
371,-0.0047457,0.981403,0.003301941,-0.001443759,,,,,,,,,
