PX, vold, vold-volup,바닐라옵션 베가,,바닐라옵션 vega(%),조기상환형 vega(%),노셔널,787.633
448.802,0.211202,0.314844,0.103642,,0.09%,-0.003%,,
450.288,0.202405,0.302669,0.100264,,0.09%,-0.003%,,
451.774,0.193963,0.290951,0.096988,,0.09%,-0.003%,,
453.261,0.185864,0.279673,0.093809,,0.08%,-0.002%,,
454.747,0.178093,0.268819,0.090726,,0.08%,-0.002%,,
456.233,0.170638,0.258374,0.087736,,0.08%,-0.002%,,
457.719,0.163487,0.248323,0.084836,,0.08%,-0.002%,,
459.205,0.156627,0.238652,0.082025,,0.07%,-0.003%,,
460.691,0.150047,0.229346,0.079299,,0.07%,-0.002%,,
462.177,0.143736,0.220393,0.076657,,0.07%,-0.002%,,
463.663,0.137683,0.211779,0.074096,,0.07%,-0.002%,,
465.149,0.131878,0.203492,0.071614,,0.06%,-0.002%,,
466.635,0.126312,0.19552,0.069208,,0.06%,-0.002%,,
468.122,0.120974,0.187852,0.066878,,0.06%,-0.002%,,
469.608,0.115855,0.180476,0.064621,,0.06%,-0.002%,,
471.094,0.110948,0.173381,0.062433,,0.06%,-0.001%,,
472.58,0.106243,0.166557,0.060314,,0.05%,-0.001%,,
474.066,0.101732,0.159994,0.058262,,0.05%,-0.001%,,
475.552,0.097408,0.153683,0.056275,,0.05%,-0.001%,,
477.038,0.0932627,0.147613,0.0543503,,0.05%,-0.001%,,
478.524,0.0892893,0.141776,0.0524867,,0.05%,-0.001%,,
480.01,0.0854807,0.136164,0.0506833,,0.05%,-0.001%,,
481.496,0.0818303,0.130767,0.0489367,,0.04%,-0.001%,,
482.983,0.0783317,0.125577,0.0472453,,0.04%,-0.001%,,
484.469,0.0749787,0.120588,0.0456093,,0.04%,-0.001%,,
485.955,0.0717655,0.115791,0.0440255,,0.04%,-0.001%,,
487.441,0.0686863,0.111179,0.0424927,,0.04%,-0.001%,,
488.927,0.0657357,0.106745,0.0410093,,0.04%,-0.001%,,
490.413,0.0629085,0.102483,0.0395745,,0.04%,-0.001%,,
491.899,0.0601995,0.0983849,0.0381854,,0.03%,-0.001%,,
493.385,0.057604,0.0944459,0.0368419,,0.03%,0.000%,,
494.871,0.0551172,0.0906593,0.0355421,,0.03%,0.000%,,
496.357,0.0527348,0.0870195,0.0342847,,0.03%,0.000%,,
497.844,0.0504523,0.0835208,0.0330685,,0.03%,0.000%,,
499.33,0.0482658,0.0801578,0.031892,,0.03%,0.000%,,
500.816,0.0461711,0.0769252,0.0307541,,0.03%,0.000%,,
502.302,0.0441646,0.073818,0.0296534,,0.03%,0.000%,,
503.788,0.0422424,0.0708315,0.0285891,,0.03%,0.000%,,
505.274,0.0404012,0.0679608,0.0275596,,0.02%,0.000%,,
506.76,0.0386375,0.0652015,0.026564,,0.02%,0.000%,,
508.246,0.036948,0.0625492,0.0256012,,0.02%,0.000%,,
509.732,0.0353298,0.0599998,0.02467,,0.02%,0.000%,,
511.218,0.0337796,0.0575493,0.0237697,,0.02%,0.000%,,
512.705,0.0322948,0.0551936,0.0228988,,0.02%,0.000%,,
514.191,0.0308725,0.0529292,0.0220567,,0.02%,0.000%,,
515.677,0.0295101,0.0507523,0.0212422,,0.02%,0.000%,,
517.163,0.0282049,0.0486594,0.0204545,,0.02%,0.000%,,
518.649,0.0269546,0.0466473,0.0196927,,0.02%,0.000%,,
520.135,0.0257568,0.0447127,0.0189559,,0.02%,0.000%,,
521.621,0.0246093,0.0428524,0.0182431,,0.02%,0.000%,,
523.107,0.0235098,0.0410634,0.0175536,,0.02%,0.000%,,
524.593,0.0224563,0.0393429,0.0168866,,0.02%,0.000%,,
526.079,0.0214468,0.0376879,0.0162411,,0.01%,0.000%,,
527.566,0.0204793,0.036096,0.0156167,,0.01%,0.000%,,
529.052,0.019552,0.0345643,0.0150123,,0.01%,0.000%,,
530.538,0.0186632,0.0330904,0.0144272,,0.01%,0.000%,,
532.024,0.017811,0.0316719,0.0138609,,0.01%,0.000%,,
533.51,0.0169939,0.0303065,0.0133126,,0.01%,0.000%,,
534.996,0.0162102,0.0289918,0.0127816,,0.01%,0.000%,,
536.482,0.0154585,0.0277257,0.0122672,,0.01%,0.000%,,
537.968,0.0147373,0.0265061,0.0117688,,0.01%,0.000%,,
539.454,0.0140452,0.025331,0.0112858,,0.01%,0.000%,,
540.94,0.0133808,0.0241984,0.0108176,,0.01%,0.000%,,
542.427,0.0127429,0.0231064,0.0103635,,0.01%,0.000%,,
543.913,0.0121301,0.0220531,0.009923,,0.01%,0.000%,,
545.399,0.0115413,0.0210368,0.0094955,,0.01%,0.000%,,
546.885,0.0109753,0.0200559,0.0090806,,0.01%,0.000%,,
548.371,0.010431,0.0191085,0.0086775,,0.01%,0.000%,,
549.857,0.00990725,0.0181932,0.00828595,,0.01%,0.000%,,
551.343,0.00940311,0.0173083,0.00790519,,0.01%,0.000%,,
552.829,0.00891754,0.0164525,0.00753496,,0.01%,0.000%,,
554.315,0.00844956,0.0156241,0.00717454,,0.01%,0.000%,,
555.801,0.00799826,0.0148219,0.00682364,,0.01%,0.000%,,
557.288,0.00756271,0.0140444,0.00648169,,0.01%,0.000%,,
558.774,0.00714207,0.0132904,0.00614833,,0.01%,0.000%,,
560.26,0.00673547,0.0125585,0.00582303,,0.01%,0.000%,,
561.746,0.00634212,0.0118475,0.00550538,,0.00%,0.000%,,
563.232,0.00596122,0.0111562,0.00519498,,0.00%,0.000%,,
564.718,0.005592,0.0104834,0.0048914,,0.00%,0.000%,,
566.204,0.00523374,0.009828,0.00459426,,0.00%,0.000%,,
567.69,0.00488572,0.00918885,0.00430313,,0.00%,0.000%,,
569.176,0.00454723,0.00856487,0.00401764,,0.00%,0.000%,,
570.662,0.00421761,0.00795502,0.00373741,,0.00%,0.000%,,
572.149,0.0038962,0.00735826,0.00346206,,0.00%,0.000%,,
573.635,0.00358236,0.00677359,0.00319123,,0.00%,0.000%,,
575.121,0.00327548,0.00620004,0.00292456,,0.00%,0.000%,,
576.607,0.00297494,0.00563664,0.0026617,,0.00%,0.000%,,
578.093,0.00268015,0.00508245,0.0024023,,0.00%,0.000%,,
579.579,0.00239054,0.00453658,0.00214604,,0.00%,0.000%,,
581.065,0.00210555,0.0039981,0.00189255,,0.00%,0.000%,,
582.551,0.00182462,0.00346616,0.00164154,,0.00%,0.000%,,
584.037,0.00154722,0.00293988,0.00139266,,0.00%,0.000%,,
585.523,0.00127281,0.00241842,0.00114561,,0.00%,0.000%,,
587.01,0.00100088,0.00190094,0.00090006,,0.00%,0.000%,,
588.496,0.000730922,0.00138662,0.000655698,,0.00%,0.000%,,
589.982,0.000462423,0.00087466,0.000412237,,0.00%,0.000%,,
591.468,0.000194894,0.000364262,0.000169368,,0.00%,0.000%,,
592.954,-7.22E-05,-0.000145361,-7.32072E-05,,0.00%,0.000%,,
594.44,-0.000339201,-0.000654984,-0.000315783,,0.00%,0.000%,,
