numMC,PL,PL%,
873,0.0083,0.8300,
874,0,0.0000,
875,-0.0012,-0.1200,
876,0,0.0000,
877,-0.001,-0.1000,
878,-0.0006,-0.0600,
879,0.0006,0.0600,
880,0.0023,0.2300,
881,0.0001,0.0100,
882,-0.0041,-0.4100,
883,0.0182,1.8200,
884,0.0033,0.3300,
885,-0.0002,-0.0200,
886,0.0014,0.1400,
887,-0.0022,-0.2200,
888,-0.001,-0.1000,
889,0.0005,0.0500,
890,0.0015,0.1500,
891,0.001,0.1000,
892,-0.0022,-0.2200,
893,-0.0021,-0.2100,
894,0.0022,0.2200,
895,0.0055,0.5500,
896,0,0.0000,
897,0.0001,0.0100,
898,0.0239,2.3900,
899,0.0061,0.6100,
900,-0.0006,-0.0600,
901,0.0039,0.3900,
902,-0.003,-0.3000,
903,0.0163,1.6300,
904,-0.0024,-0.2400,
905,-0.0017,-0.1700,
906,-0.0175,-1.7500,
907,-0.0027,-0.2700,
908,0.0031,0.3100,
909,-0.0014,-0.1400,
910,-0.0011,-0.1100,
911,0.0013,0.1300,
912,0.0011,0.1100,
913,-0.0218,-2.1800,
914,-0.0007,-0.0700,
915,0.0001,0.0100,
916,-0.0132,-1.3200,
917,-0.0007,-0.0700,
918,-0.0016,-0.1600,
919,0.0029,0.2900,
920,0.007,0.7000,
921,0.0038,0.3800,
922,0.0016,0.1600,
923,-0.0011,-0.1100,
924,0.0029,0.2900,
925,0.0174,1.7400,
926,0.0011,0.1100,
927,-0.0009,-0.0900,
928,-0.0001,-0.0100,
929,0.0028,0.2800,
930,0.0008,0.0800,
931,-0.0022,-0.2200,
932,0.0071,0.7100,
933,-0.0142,-1.4200,
934,-0.007,-0.7000,
935,-0.022,-2.2000,
936,0.0143,1.4300,
937,-0.0229,-2.2900,
938,0.0017,0.1700,
939,0.001,0.1000,
940,-0.0291,-2.9100,
941,0.0005,0.0500,
942,0.0022,0.2200,
943,0.002,0.2000,
944,0.0014,0.1400,
945,0.0064,0.6400,
946,-0.0006,-0.0600,
947,-0.0024,-0.2400,
948,-0.0016,-0.1600,
949,-0.0076,-0.7600,
950,-0.0091,-0.9100,
951,0.0025,0.2500,
952,-0.0066,-0.6600,
953,0.0017,0.1700,
954,-0.0017,-0.1700,
955,-0.0018,-0.1800,
956,-0.0174,-1.7400,
957,0.0055,0.5500,
958,0.0252,2.5200,
959,-0.0151,-1.5100,
960,0.2135,21.3500,
961,0.0057,0.5700,
962,-0.0039,-0.3900,
963,0.001,0.1000,
964,-0.0128,-1.2800,
965,0.0004,0.0400,
966,0.0021,0.2100,
967,0.0002,0.0200,
968,0.0025,0.2500,
969,0.0019,0.1900,
970,0.002,0.2000,
971,0.0012,0.1200,
972,0.0039,0.3900,
973,-0.001,-0.1000,
974,0,0.0000,
975,-0.025,-2.5000,
976,0.002,0.2000,
977,-0.0006,-0.0600,
978,-0.0001,-0.0100,
979,-0.0014,-0.1400,
980,0.0009,0.0900,
981,-0.0125,-1.2500,
982,-0.0383,-3.8300,
983,-0.0021,-0.2100,
984,-0.0064,-0.6400,
985,-0.0011,-0.1100,
986,-0.0032,-0.3200,
987,0.0009,0.0900,
988,-0.0024,-0.2400,
989,-0.0035,-0.3500,
990,-0.0008,-0.0800,
991,-0.0004,-0.0400,
992,-0.0051,-0.5100,
993,-0.0001,-0.0100,
994,-0.0126,-1.2600,
995,0.004,0.4000,
996,-0.0001,-0.0100,
997,0.002,0.2000,
998,0.0005,0.0500,
999,-0.0166,-1.6600,
1000,0.0031,0.3100,
1001,-0.0015,-0.1500,
1002,-0.0068,-0.6800,
1003,0.0003,0.0300,
1004,0.0242,2.4200,
