PX, vold, uold, vold vol up, uold vol up,vega
270.47,0.883123,0.931503,0.879686,0.921269,-1.023%
271.956,0.887581,0.935459,0.884076,0.925278,-1.018%
273.442,0.892008,0.939347,0.888437,0.929226,-1.012%
274.928,0.896406,0.943169,0.892768,0.933115,-1.005%
276.415,0.900772,0.946927,0.897069,0.936946,-0.998%
277.901,0.905078,0.950563,0.901312,0.94067,-0.989%
279.387,0.909324,0.954081,0.905498,0.944288,-0.979%
280.873,0.913509,0.957483,0.909626,0.947805,-0.968%
282.359,0.917633,0.960775,0.913695,0.951222,-0.955%
283.845,0.921697,0.96396,0.917707,0.954544,-0.942%
285.331,0.925699,0.967041,0.92166,0.957771,-0.927%
286.817,0.929641,0.970023,0.925555,0.960908,-0.911%
288.303,0.933521,0.972909,0.929392,0.963957,-0.895%
289.789,0.937341,0.975703,0.933169,0.966922,-0.878%
291.276,0.941099,0.978409,0.936889,0.969805,-0.860%
292.762,0.944743,0.980956,0.940501,0.972543,-0.841%
294.248,0.948273,0.983353,0.944007,0.975144,-0.821%
295.734,0.951689,0.985606,0.947406,0.977612,-0.799%
297.22,0.954993,0.987724,0.9507,0.979952,-0.777%
298.706,0.958185,0.989712,0.953889,0.982171,-0.754%
300.192,0.961266,0.991579,0.956973,0.984274,-0.731%
301.678,0.964236,0.993329,0.959953,0.986265,-0.706%
303.164,0.967096,0.99497,0.962829,0.988149,-0.682%
304.65,0.969848,0.996508,0.965603,0.989931,-0.658%
306.137,0.972492,0.997948,0.968274,0.991616,-0.633%
307.623,0.975006,0.999277,0.970823,0.99319,-0.609%
309.109,0.977394,1.0005,0.973253,0.994658,-0.584%
310.595,0.979656,1.00163,0.975564,0.996026,-0.560%
312.081,0.981793,1.00266,0.977758,0.997296,-0.536%
313.567,0.983809,1.00361,0.979835,0.998475,-0.513%
315.053,0.985704,1.00447,0.981798,0.999567,-0.490%
316.539,0.987481,1.00525,0.983648,1.00057,-0.468%
318.025,0.989142,1.00597,0.985388,1.0015,-0.447%
319.512,0.990689,1.00661,0.987018,1.00235,-0.426%
320.998,0.992155,1.00721,0.98857,1.00315,-0.406%
322.484,0.993543,1.00776,0.990046,1.0039,-0.386%
323.97,0.994853,1.00827,0.991446,1.0046,-0.367%
325.456,0.996088,1.00874,0.992772,1.00525,-0.349%
326.942,0.99725,1.00917,0.994026,1.00586,-0.331%
328.428,0.998341,1.00957,0.99521,1.00642,-0.315%
329.914,0.999363,1.00993,0.996326,1.00695,-0.298%
331.4,1.00032,1.01026,0.997376,1.00744,-0.282%
332.886,1.00121,1.01057,0.998361,1.00789,-0.268%
334.373,1.00204,1.01084,0.999283,1.0083,-0.254%
335.859,1.00282,1.0111,1.00016,1.00869,-0.241%
337.345,1.00355,1.01134,1.00099,1.00906,-0.228%
338.831,1.00424,1.01156,1.00177,1.0094,-0.216%
340.317,1.00489,1.01176,1.00251,1.00972,-0.204%
341.803,1.0055,1.01194,1.0032,1.01002,-0.192%
343.289,1.00607,1.01211,1.00386,1.01029,-0.182%
344.775,1.0066,1.01227,1.00448,1.01055,-0.172%
346.261,1.0071,1.01242,1.00506,1.01079,-0.163%
347.747,1.00756,1.01255,1.00561,1.01102,-0.153%
349.234,1.00799,1.01267,1.00612,1.01122,-0.145%
350.72,1.0084,1.01278,1.0066,1.01142,-0.136%
352.206,1.00877,1.01288,1.00705,1.0116,-0.128%
353.692,1.00913,1.01298,1.00747,1.01176,-0.122%
355.178,1.00945,1.01306,1.00787,1.01192,-0.114%
356.664,1.00976,1.01314,1.00825,1.01206,-0.108%
358.15,1.01004,1.01322,1.0086,1.0122,-0.102%
359.636,1.01031,1.01328,1.00892,1.01232,-0.096%
361.122,1.01055,1.01334,1.00923,1.01244,-0.090%
362.608,1.01078,1.0134,1.00951,1.01254,-0.086%
364.095,1.01098,1.01345,1.00978,1.01264,-0.081%
365.581,1.01118,1.01349,1.01003,1.01273,-0.076%
367.067,1.01136,1.01354,1.01026,1.01282,-0.072%
368.553,1.01153,1.01358,1.01048,1.0129,-0.068%
370.039,1.01169,1.01361,1.01069,1.01297,-0.064%
371.525,1.01184,1.01365,1.01088,1.01304,-0.061%
373.011,1.01198,1.01368,1.01107,1.0131,-0.058%
374.497,1.01211,1.01371,1.01124,1.01316,-0.055%
375.983,1.01223,1.01373,1.0114,1.01322,-0.051%
377.469,1.01235,1.01376,1.01155,1.01327,-0.049%
378.956,1.01245,1.01378,1.01169,1.01332,-0.046%
380.442,1.01255,1.0138,1.01182,1.01337,-0.043%
381.928,1.01264,1.01382,1.01195,1.01341,-0.041%
383.414,1.01273,1.01383,1.01207,1.01345,-0.038%
384.9,1.01281,1.01385,1.01218,1.01349,-0.036%
386.386,1.01289,1.01387,1.01229,1.01352,-0.035%
387.872,1.01296,1.01388,1.01239,1.01355,-0.033%
389.358,1.01303,1.01389,1.01248,1.01359,-0.030%
390.844,1.01309,1.01391,1.01257,1.01361,-0.030%
392.33,1.01315,1.01392,1.01265,1.01364,-0.028%
393.817,1.01321,1.01393,1.01273,1.01367,-0.026%
395.303,1.01326,1.01394,1.01281,1.01369,-0.025%
396.789,1.01331,1.01395,1.01288,1.01372,-0.023%
398.275,1.01335,1.01396,1.01295,1.01374,-0.022%
399.761,1.0134,1.01396,1.01301,1.01376,-0.020%
401.247,1.01344,1.01397,1.01307,1.01378,-0.019%
402.733,1.01348,1.01398,1.01313,1.01379,-0.019%
404.219,1.01351,1.01398,1.01318,1.01381,-0.017%
405.705,1.01355,1.01399,1.01323,1.01383,-0.016%
407.191,1.01358,1.014,1.01328,1.01384,-0.016%
408.678,1.01361,1.014,1.01332,1.01385,-0.015%
410.164,1.01364,1.01401,1.01336,1.01387,-0.014%
411.65,1.01366,1.01401,1.0134,1.01388,-0.013%
413.136,1.01369,1.01401,1.01344,1.01389,-0.012%
414.622,1.01371,1.01402,1.01347,1.0139,-0.012%
416.108,1.01373,1.01402,1.01351,1.01391,-0.011%
417.594,1.01375,1.01402,1.01354,1.01392,-0.010%
419.08,1.01377,1.01403,1.01357,1.01393,-0.010%
420.566,1.01379,1.01403,1.0136,1.01394,-0.009%
422.052,1.01381,1.01403,1.01362,1.01395,-0.008%
423.539,1.01382,1.01404,1.01365,1.01395,-0.009%
425.025,1.01384,1.01404,1.01367,1.01396,-0.008%
426.511,1.01385,1.01404,1.01369,1.01397,-0.007%
427.997,1.01387,1.01404,1.01372,1.01397,-0.007%
