PX%,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,PX,델타(발행시),델타(6개월),델타(12개월),델타(18개월),델타(24개월),델타(30개월),델타(만기),감마(발행시),감마(6개월),감마(12개월),감마(18개월),감마(24개월),감마(30개월),감마(만기),,발행시 volup,6개월후up,12개월후up,18개월후uip,24개월후up,30개월후up,만기up,발행시 VEGA,6개월후VEGA,12개월후VEGA,18개월후VEGA,24개월후VEGA,30개월후VEGA,만기VEGA
18%,16.77%,17.07%,17.16%,17.47%,17.56%,17.89%,18.00%,53.4996,16.78%,17.07%,17.16%,17.47%,17.56%,17.89%,18.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.167745,0.170747,0.171597,0.17472,0.175609,0.178888,0.18,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
19%,17.24%,17.55%,17.64%,17.96%,18.05%,18.39%,18.50%,54.9857,17.25%,17.55%,17.64%,17.96%,18.05%,18.39%,18.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.172409,0.17549,0.176364,0.179573,0.180487,0.183857,0.185,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
19%,17.71%,18.02%,18.11%,18.44%,18.54%,18.88%,19.00%,56.4718,17.72%,18.02%,18.11%,18.44%,18.54%,18.88%,19.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.177073,0.180233,0.18113,0.184426,0.185365,0.188826,0.19,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
20%,18.17%,18.50%,18.59%,18.93%,19.02%,19.38%,19.50%,57.9579,18.19%,18.50%,18.59%,18.93%,19.02%,19.38%,19.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.181739,0.184976,0.185897,0.18928,0.190243,0.193795,0.195,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
20%,18.64%,18.97%,19.07%,19.41%,19.51%,19.88%,20.00%,59.444,18.66%,18.97%,19.07%,19.41%,19.51%,19.88%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.186405,0.189719,0.190664,0.194133,0.195121,0.198764,0.2,-0.001%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
21%,19.11%,19.45%,19.54%,19.90%,20.00%,20.37%,20.50%,60.9301,19.13%,19.45%,19.54%,19.90%,20.00%,20.37%,20.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.191073,0.194463,0.19543,0.198986,0.199999,0.203733,0.205,-0.002%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
21%,19.57%,19.92%,20.02%,20.38%,20.49%,20.87%,21.00%,62.4162,19.60%,19.92%,20.02%,20.38%,20.49%,20.87%,21.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.195743,0.199206,0.200197,0.203839,0.204877,0.208703,0.21,-0.002%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
22%,20.04%,20.39%,20.50%,20.87%,20.98%,21.37%,21.50%,63.9023,20.07%,20.40%,20.50%,20.87%,20.98%,21.37%,21.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.200413,0.20395,0.204963,0.208693,0.209755,0.213672,0.215,-0.002%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
22%,20.51%,20.87%,20.97%,21.35%,21.46%,21.86%,22.00%,65.3884,20.55%,20.87%,20.97%,21.35%,21.46%,21.86%,22.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.205086,0.208694,0.20973,0.213546,0.214633,0.218641,0.22,-0.003%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
23%,20.97%,21.34%,21.45%,21.84%,21.95%,22.36%,22.50%,66.8745,21.02%,21.35%,21.45%,21.84%,21.95%,22.36%,22.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.209761,0.213438,0.214497,0.218399,0.219511,0.22361,0.225,-0.003%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
