PX%,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,PX,델타(발행시),델타(6개월),델타(12개월),델타(18개월),델타(24개월),델타(30개월),델타(만기),감마(발행시),감마(6개월),감마(12개월),감마(18개월),감마(24개월),감마(30개월),감마(만기),,발행시 volup,6개월후up,12개월후up,18개월후uip,24개월후up,30개월후up,만기up,발행시 VEGA,6개월후VEGA,12개월후VEGA,18개월후VEGA,24개월후VEGA,30개월후VEGA,만기VEGA
108%,100.66%,103.51%,105.97%,108.49%,110.78%,113.01%,113.80%,319.512,13.33%,7.09%,3.98%,-0.21%,-0.97%,0.00%,0.00%,2.42%,1.61%,1.15%,0.12%,-0.12%,0.00%,0.00%,,1.00235,1.03207,1.05759,1.08393,1.1077,1.13012,1.138,0.426%,0.300%,0.209%,0.095%,0.014%,0.000%,0.000%
108%,100.72%,103.54%,105.99%,108.49%,110.78%,113.01%,113.80%,320.998,12.42%,6.37%,3.56%,-0.22%,-0.97%,0.00%,0.00%,2.09%,1.51%,0.82%,0.12%,0.00%,0.00%,0.00%,,1.00315,1.03257,1.05792,1.084,1.10768,1.13012,1.138,0.406%,0.281%,0.193%,0.087%,0.012%,0.000%,0.000%
109%,100.78%,103.57%,106.00%,108.49%,110.78%,113.01%,113.80%,322.484,11.50%,5.75%,3.26%,-0.33%,-0.98%,0.00%,0.00%,2.00%,1.30%,0.71%,0.24%,-0.12%,0.00%,0.00%,,1.0039,1.03303,1.05822,1.08407,1.10766,1.13012,1.138,0.386%,0.263%,0.179%,0.079%,0.009%,0.000%,0.000%
109%,100.83%,103.59%,106.02%,108.48%,110.77%,113.01%,113.80%,323.97,10.68%,5.23%,2.94%,-0.44%,-0.87%,0.00%,0.00%,1.90%,1.19%,0.71%,0.24%,-0.12%,0.00%,0.00%,,1.0046,1.03346,1.0585,1.08413,1.10763,1.13012,1.138,0.367%,0.245%,0.165%,0.071%,0.008%,0.000%,0.000%
110%,100.87%,103.61%,106.03%,108.48%,110.77%,113.01%,113.80%,325.456,9.86%,4.71%,2.63%,-0.55%,-0.88%,0.00%,0.00%,1.80%,1.08%,0.84%,0.12%,0.00%,0.00%,0.00%,,1.00525,1.03385,1.05875,1.08418,1.10761,1.13012,1.138,0.349%,0.229%,0.153%,0.064%,0.006%,0.000%,0.000%
110%,100.92%,103.63%,106.04%,108.48%,110.76%,113.01%,113.80%,326.942,9.13%,4.29%,2.20%,-0.55%,-0.88%,0.00%,0.00%,1.69%,0.97%,0.73%,0.00%,-0.12%,0.00%,0.00%,,1.00586,1.03421,1.05898,1.08422,1.10758,1.13012,1.138,0.331%,0.213%,0.141%,0.057%,0.005%,0.000%,0.000%
110%,100.96%,103.65%,106.05%,108.48%,110.76%,113.01%,113.80%,328.428,8.40%,3.87%,1.99%,-0.55%,-0.77%,0.00%,0.00%,1.71%,1.10%,0.49%,0.12%,-0.12%,0.00%,0.00%,,1.00642,1.03454,1.05919,1.08425,1.10756,1.13012,1.138,0.315%,0.199%,0.129%,0.052%,0.003%,0.000%,0.000%
111%,100.99%,103.67%,106.06%,108.47%,110.76%,113.01%,113.80%,329.914,7.66%,3.33%,1.78%,-0.67%,-0.78%,0.00%,0.00%,1.48%,0.99%,0.49%,0.00%,0.00%,0.00%,0.00%,,1.00695,1.03485,1.05938,1.08428,1.10753,1.13012,1.138,0.298%,0.184%,0.119%,0.046%,0.003%,0.000%,0.000%
111%,101.03%,103.68%,106.06%,108.47%,110.75%,113.01%,113.80%,331.4,7.14%,3.01%,1.56%,-0.56%,-0.78%,0.00%,0.00%,1.37%,0.62%,0.37%,-0.12%,-0.12%,0.00%,0.00%,,1.00744,1.03512,1.05955,1.0843,1.10751,1.13012,1.138,0.282%,0.171%,0.109%,0.041%,0.001%,0.000%,0.000%
112%,101.06%,103.70%,106.07%,108.47%,110.75%,113.01%,113.80%,332.886,6.49%,2.80%,1.46%,-0.56%,-0.67%,0.00%,0.00%,1.38%,0.63%,0.38%,0.13%,-0.25%,0.00%,0.00%,,1.00789,1.03537,1.05971,1.08432,1.10749,1.13012,1.138,0.268%,0.159%,0.100%,0.037%,0.000%,0.000%,0.000%
113%,101.08%,103.71%,106.08%,108.47%,110.75%,113.01%,113.80%,334.373,5.96%,2.47%,1.24%,-0.67%,-0.56%,0.00%,0.00%,1.01%,0.76%,0.51%,0.00%,-0.13%,0.00%,0.00%,,1.0083,1.0356,1.05985,1.08433,1.10747,1.13012,1.138,0.254%,0.148%,0.092%,0.033%,-0.001%,0.000%,0.000%
113%,101.11%,103.72%,106.08%,108.46%,110.74%,113.01%,113.80%,335.859,5.65%,2.15%,1.02%,-0.57%,-0.57%,0.00%,0.00%,0.89%,0.64%,0.38%,-0.13%,0.00%,0.00%,0.00%,,1.00869,1.03582,1.05998,1.08434,1.10744,1.13012,1.138,0.241%,0.136%,0.084%,0.029%,0.000%,0.000%,0.000%
114%,101.13%,103.73%,106.09%,108.46%,110.74%,113.01%,113.80%,337.345,5.22%,1.93%,0.91%,-0.57%,-0.57%,0.00%,0.00%,1.03%,0.52%,0.26%,0.00%,-0.13%,0.00%,0.00%,,1.00906,1.03601,1.06009,1.08435,1.10742,1.13012,1.138,0.228%,0.126%,0.077%,0.026%,-0.001%,0.000%,0.000%
114%,101.16%,103.74%,106.09%,108.46%,110.74%,113.01%,113.80%,338.831,4.79%,1.71%,0.80%,-0.57%,-0.46%,0.00%,0.00%,1.04%,0.39%,0.26%,0.00%,-0.13%,0.00%,0.00%,,1.0094,1.03619,1.0602,1.08435,1.1074,1.13012,1.138,0.216%,0.116%,0.070%,0.023%,-0.001%,0.000%,0.000%
115%,101.18%,103.74%,106.09%,108.46%,110.74%,113.01%,113.80%,340.317,4.35%,1.60%,0.69%,-0.57%,-0.46%,0.00%,0.00%,0.92%,0.39%,0.26%,0.00%,0.00%,0.00%,0.00%,,1.00972,1.03635,1.06029,1.08435,1.10739,1.13012,1.138,0.204%,0.107%,0.064%,0.021%,-0.002%,0.000%,0.000%
115%,101.19%,103.75%,106.10%,108.45%,110.74%,113.01%,113.80%,341.803,4.03%,1.38%,0.58%,-0.58%,-0.46%,0.00%,0.00%,0.66%,0.53%,0.26%,-0.13%,0.00%,0.00%,0.00%,,1.01002,1.03649,1.06038,1.08436,1.10737,1.13012,1.138,0.192%,0.100%,0.058%,0.017%,-0.002%,0.000%,0.000%
115%,101.21%,103.75%,106.10%,108.45%,110.73%,113.01%,113.80%,343.289,3.81%,1.16%,0.46%,-0.46%,-0.46%,0.00%,0.00%,0.53%,0.27%,0.13%,-0.13%,-0.13%,0.00%,0.00%,,1.01029,1.03663,1.06045,1.08436,1.10735,1.13012,1.138,0.182%,0.091%,0.053%,0.015%,-0.002%,0.000%,0.000%
116%,101.23%,103.76%,106.10%,108.45%,110.73%,113.01%,113.80%,344.775,3.60%,1.16%,0.46%,-0.46%,-0.35%,0.00%,0.00%,0.67%,0.13%,0.00%,0.00%,-0.13%,0.00%,0.00%,,1.01055,1.03675,1.06052,1.08435,1.10734,1.13012,1.138,0.172%,0.084%,0.048%,0.014%,-0.003%,0.000%,0.000%
116%,101.24%,103.76%,106.10%,108.45%,110.73%,113.01%,113.80%,346.261,3.26%,1.05%,0.47%,-0.47%,-0.35%,0.00%,0.00%,0.82%,0.41%,0.14%,0.00%,0.00%,0.00%,0.00%,,1.01079,1.03686,1.06059,1.08435,1.10732,1.13012,1.138,0.163%,0.078%,0.043%,0.012%,-0.002%,0.000%,0.000%
117%,101.26%,103.77%,106.10%,108.45%,110.73%,113.01%,113.80%,347.747,2.92%,0.82%,0.35%,-0.47%,-0.35%,0.00%,0.00%,0.69%,0.41%,0.27%,-0.14%,-0.14%,0.00%,0.00%,,1.01102,1.03696,1.06064,1.08435,1.10731,1.13012,1.138,0.153%,0.072%,0.040%,0.010%,-0.003%,0.000%,0.000%
118%,101.27%,103.77%,106.11%,108.44%,110.73%,113.01%,113.80%,349.234,2.70%,0.70%,0.23%,-0.35%,-0.23%,0.00%,0.00%,0.55%,0.14%,0.14%,-0.14%,-0.14%,0.00%,0.00%,,1.01122,1.03705,1.06069,1.08434,1.10729,1.13012,1.138,0.145%,0.066%,0.036%,0.009%,-0.002%,0.000%,0.000%
118%,101.28%,103.77%,106.11%,108.44%,110.73%,113.01%,113.80%,350.72,2.48%,0.71%,0.24%,-0.35%,-0.24%,0.00%,0.00%,0.42%,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01142,1.03713,1.06074,1.08434,1.10728,1.13012,1.138,0.136%,0.061%,0.032%,0.008%,-0.002%,0.000%,0.000%
119%,101.29%,103.78%,106.11%,108.44%,110.73%,113.01%,113.80%,352.206,2.37%,0.59%,0.24%,-0.36%,-0.24%,0.00%,0.00%,0.42%,0.28%,0.14%,0.00%,0.00%,0.00%,0.00%,,1.0116,1.03721,1.06078,1.08433,1.10727,1.13012,1.138,0.128%,0.056%,0.029%,0.007%,-0.002%,0.000%,0.000%
119%,101.30%,103.78%,106.11%,108.44%,110.72%,113.01%,113.80%,353.692,2.14%,0.48%,0.12%,-0.36%,-0.24%,0.00%,0.00%,0.57%,0.14%,0.14%,0.00%,0.00%,0.00%,0.00%,,1.01176,1.03728,1.06081,1.08433,1.10726,1.13012,1.138,0.122%,0.051%,0.027%,0.006%,-0.002%,0.000%,0.000%
120%,101.31%,103.78%,106.11%,108.44%,110.72%,113.01%,113.80%,355.178,1.91%,0.48%,0.12%,-0.36%,-0.24%,0.00%,0.00%,0.29%,0.14%,0.00%,-0.14%,-0.14%,0.00%,0.00%,,1.01192,1.03734,1.06084,1.08432,1.10725,1.13012,1.138,0.114%,0.047%,0.024%,0.005%,-0.002%,0.000%,0.000%
120%,101.31%,103.78%,106.11%,108.44%,110.72%,113.01%,113.80%,356.664,1.92%,0.36%,0.12%,-0.24%,-0.12%,0.00%,0.00%,0.29%,0.14%,0.00%,-0.14%,-0.14%,0.00%,0.00%,,1.01206,1.0374,1.06087,1.08432,1.10724,1.13012,1.138,0.108%,0.043%,0.022%,0.004%,-0.002%,0.000%,0.000%
120%,101.32%,103.78%,106.11%,108.44%,110.72%,113.01%,113.80%,358.15,1.69%,0.36%,0.12%,-0.24%,-0.12%,0.00%,0.00%,0.58%,0.00%,0.00%,0.00%,0.15%,0.00%,0.00%,,1.0122,1.03745,1.0609,1.08432,1.10724,1.13012,1.138,0.102%,0.039%,0.019%,0.003%,-0.002%,0.000%,0.000%
121%,101.33%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,359.636,1.45%,0.36%,0.12%,-0.24%,-0.24%,0.00%,0.00%,0.29%,0.15%,0.15%,0.00%,0.00%,0.00%,0.00%,,1.01232,1.03749,1.06092,1.08431,1.10723,1.13012,1.138,0.096%,0.037%,0.018%,0.003%,-0.002%,0.000%,0.000%
121%,101.33%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,361.122,1.46%,0.24%,0.00%,-0.24%,-0.12%,0.00%,0.00%,0.15%,0.15%,0.00%,0.00%,-0.15%,0.00%,0.00%,,1.01244,1.03754,1.06094,1.08431,1.10722,1.13012,1.138,0.090%,0.033%,0.016%,0.002%,-0.002%,0.000%,0.000%
122%,101.34%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,362.608,1.34%,0.24%,0.12%,-0.24%,-0.12%,0.00%,0.00%,0.45%,0.15%,-0.15%,-0.15%,0.00%,0.00%,0.00%,,1.01254,1.03757,1.06096,1.0843,1.10722,1.13012,1.138,0.086%,0.031%,0.014%,0.002%,-0.002%,0.000%,0.000%
123%,101.35%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,364.095,1.10%,0.12%,0.12%,-0.12%,-0.12%,0.00%,0.00%,0.30%,0.15%,0.15%,-0.15%,-0.15%,0.00%,0.00%,,1.01264,1.03761,1.06098,1.0843,1.10721,1.13012,1.138,0.081%,0.028%,0.013%,0.001%,-0.002%,0.000%,0.000%
123%,101.35%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,365.581,1.11%,0.12%,0.00%,-0.12%,0.00%,0.00%,0.00%,0.00%,-0.15%,0.15%,0.15%,0.00%,0.00%,0.00%,,1.01273,1.03764,1.06099,1.08429,1.10721,1.13012,1.138,0.076%,0.025%,0.012%,0.002%,-0.002%,0.000%,0.000%
124%,101.35%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,367.067,1.11%,0.25%,0.00%,-0.25%,-0.12%,0.00%,0.00%,0.31%,0.00%,0.00%,0.00%,0.15%,0.00%,0.00%,,1.01282,1.03767,1.06101,1.08429,1.1072,1.13012,1.138,0.072%,0.023%,0.010%,0.001%,-0.001%,0.000%,0.000%
124%,101.36%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,368.553,0.87%,0.12%,0.00%,-0.12%,-0.12%,0.00%,0.00%,0.31%,0.15%,0.00%,-0.15%,-0.15%,0.00%,0.00%,,1.0129,1.03769,1.06102,1.08429,1.1072,1.13012,1.138,0.068%,0.022%,0.009%,0.000%,-0.002%,0.000%,0.000%
125%,101.36%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,370.039,0.87%,0.12%,0.00%,-0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.16%,0.00%,0.00%,,1.01297,1.03772,1.06103,1.08428,1.10719,1.13012,1.138,0.064%,0.019%,0.008%,0.001%,-0.001%,0.000%,0.000%
125%,101.37%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,371.525,0.88%,0.13%,0.00%,-0.13%,0.00%,0.00%,0.00%,0.16%,0.16%,0.00%,0.00%,0.16%,0.00%,0.00%,,1.01304,1.03774,1.06104,1.08428,1.10719,1.13012,1.138,0.061%,0.018%,0.007%,0.000%,-0.001%,0.000%,0.000%
125%,101.37%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,373.011,0.75%,0.00%,0.00%,-0.13%,-0.13%,0.00%,0.00%,0.32%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,,1.0131,1.03776,1.06104,1.08428,1.10719,1.13012,1.138,0.058%,0.016%,0.007%,0.000%,-0.001%,0.000%,0.000%
126%,101.37%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,374.497,0.63%,0.13%,0.00%,-0.13%,-0.13%,0.00%,0.00%,0.16%,-0.16%,0.00%,-0.16%,-0.16%,0.00%,0.00%,,1.01316,1.03778,1.06105,1.08427,1.10718,1.13012,1.138,0.055%,0.014%,0.006%,0.000%,-0.001%,0.000%,0.000%
126%,101.37%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,375.983,0.63%,0.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.00%,-0.16%,-0.16%,0.00%,0.00%,,1.01322,1.03779,1.06106,1.08427,1.10718,1.13012,1.138,0.051%,0.014%,0.005%,0.000%,-0.001%,0.000%,0.000%
127%,101.38%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,377.469,0.63%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.16%,0.00%,0.16%,0.00%,0.00%,0.00%,,1.01327,1.03781,1.06106,1.08427,1.10718,1.13012,1.138,0.049%,0.012%,0.005%,0.000%,-0.001%,0.000%,0.000%
128%,101.38%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,378.956,0.51%,0.00%,0.00%,-0.13%,0.00%,0.00%,0.00%,0.16%,-0.16%,0.00%,0.16%,0.00%,0.00%,0.00%,,1.01332,1.03782,1.06107,1.08427,1.10718,1.13012,1.138,0.046%,0.011%,0.004%,0.000%,-0.001%,0.000%,0.000%
128%,101.38%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,380.442,0.51%,0.13%,0.00%,-0.13%,0.00%,0.00%,0.00%,0.16%,-0.16%,0.00%,-0.16%,0.00%,0.00%,0.00%,,1.01337,1.03783,1.06107,1.08426,1.10717,1.13012,1.138,0.043%,0.010%,0.004%,0.000%,0.000%,0.000%,0.000%
129%,101.38%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,381.928,0.39%,0.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.17%,0.17%,0.00%,-0.17%,0.17%,0.00%,0.00%,,1.01341,1.03784,1.06108,1.08426,1.10717,1.13012,1.138,0.041%,0.010%,0.003%,0.000%,0.000%,0.000%,0.000%
129%,101.38%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,383.414,0.39%,0.00%,0.00%,0.00%,-0.13%,0.00%,0.00%,-0.17%,0.17%,0.00%,0.00%,0.17%,0.00%,0.00%,,1.01345,1.03785,1.06108,1.08426,1.10717,1.13012,1.138,0.038%,0.009%,0.003%,0.000%,0.000%,0.000%,0.000%
130%,101.39%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,384.9,0.52%,0.00%,0.00%,0.00%,-0.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.17%,-0.17%,0.00%,0.00%,,1.01349,1.03786,1.06108,1.08426,1.10717,1.13012,1.138,0.036%,0.008%,0.003%,0.000%,-0.001%,0.000%,0.000%
130%,101.39%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,386.386,0.39%,0.00%,0.00%,-0.13%,0.00%,0.00%,0.00%,0.34%,0.00%,0.00%,0.17%,-0.17%,0.00%,0.00%,,1.01352,1.03787,1.06109,1.08426,1.10717,1.13012,1.138,0.035%,0.007%,0.002%,0.000%,-0.001%,0.000%,0.000%
130%,101.39%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,387.872,0.26%,0.00%,0.00%,-0.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.17%,0.00%,0.00%,0.00%,,1.01355,1.03787,1.06109,1.08426,1.10717,1.13012,1.138,0.033%,0.007%,0.002%,-0.001%,-0.001%,0.000%,0.000%
131%,101.39%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,389.358,0.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.17%,0.00%,0.00%,-0.17%,0.00%,0.00%,0.00%,,1.01359,1.03788,1.06109,1.08425,1.10717,1.13012,1.138,0.030%,0.006%,0.002%,0.000%,-0.001%,0.000%,0.000%
131%,101.39%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,390.844,0.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01361,1.03789,1.06109,1.08425,1.10717,1.13012,1.138,0.030%,0.005%,0.002%,0.000%,-0.001%,0.000%,0.000%
132%,101.39%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,392.33,0.26%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01364,1.03789,1.0611,1.08425,1.10716,1.13012,1.138,0.028%,0.005%,0.001%,0.000%,0.000%,0.000%,0.000%
133%,101.39%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,393.817,0.26%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01367,1.0379,1.0611,1.08425,1.10716,1.13012,1.138,0.026%,0.004%,0.001%,0.000%,0.000%,0.000%,0.000%
133%,101.39%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,395.303,0.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01369,1.0379,1.0611,1.08425,1.10716,1.13012,1.138,0.025%,0.004%,0.001%,0.000%,0.000%,0.000%,0.000%
134%,101.40%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,396.789,0.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01372,1.03791,1.0611,1.08425,1.10716,1.13012,1.138,0.023%,0.003%,0.001%,0.000%,0.000%,0.000%,0.000%
134%,101.40%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,398.275,0.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01374,1.03791,1.0611,1.08425,1.10716,1.13012,1.138,0.022%,0.003%,0.001%,0.000%,0.000%,0.000%,0.000%
135%,101.40%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,399.761,0.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01376,1.03791,1.0611,1.08425,1.10716,1.13012,1.138,0.020%,0.003%,0.001%,0.000%,0.000%,0.000%,0.000%
135%,101.40%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,401.247,0.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01378,1.03792,1.0611,1.08425,1.10716,1.13012,1.138,0.019%,0.002%,0.001%,0.000%,0.000%,0.000%,0.000%
135%,101.40%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,402.733,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01379,1.03792,1.0611,1.08425,1.10716,1.13012,1.138,0.019%,0.002%,0.001%,0.000%,0.000%,0.000%,0.000%
136%,101.40%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,404.219,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01381,1.03792,1.0611,1.08425,1.10716,1.13012,1.138,0.017%,0.002%,0.001%,0.000%,0.000%,0.000%,0.000%
136%,101.40%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,405.705,0.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.19%,0.00%,0.00%,0.00%,,1.01383,1.03792,1.0611,1.08425,1.10716,1.13012,1.138,0.016%,0.002%,0.001%,0.000%,0.000%,0.000%,0.000%
137%,101.40%,103.79%,106.11%,108.43%,110.72%,113.01%,113.80%,407.191,0.14%,0.00%,0.00%,-0.14%,0.00%,0.00%,0.00%,0.19%,0.00%,0.00%,0.19%,0.00%,0.00%,0.00%,,1.01384,1.03792,1.0611,1.08425,1.10716,1.13012,1.138,0.016%,0.002%,0.001%,0.000%,0.000%,0.000%,0.000%
138%,101.40%,103.79%,106.11%,108.42%,110.72%,113.01%,113.80%,408.678,0.14%,0.00%,0.00%,-0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.19%,0.00%,0.00%,0.00%,,1.01385,1.03793,1.06111,1.08425,1.10716,1.13012,1.138,0.015%,0.001%,0.000%,-0.001%,0.000%,0.000%,0.000%
138%,101.40%,103.79%,106.11%,108.42%,110.72%,113.01%,113.80%,410.164,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.19%,0.00%,0.00%,-0.19%,0.00%,0.00%,0.00%,,1.01387,1.03793,1.06111,1.08425,1.10716,1.13012,1.138,0.014%,0.001%,0.000%,-0.001%,0.000%,0.000%,0.000%
139%,101.40%,103.79%,106.11%,108.42%,110.72%,113.01%,113.80%,411.65,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01388,1.03793,1.06111,1.08425,1.10716,1.13012,1.138,0.013%,0.001%,0.000%,-0.001%,0.000%,0.000%,0.000%
139%,101.40%,103.79%,106.11%,108.42%,110.72%,113.01%,113.80%,413.136,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01389,1.03793,1.06111,1.08424,1.10716,1.13012,1.138,0.012%,0.001%,0.000%,0.000%,0.000%,0.000%,0.000%
140%,101.40%,103.79%,106.11%,108.42%,110.72%,113.01%,113.80%,414.622,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.0139,1.03793,1.06111,1.08424,1.10716,1.13012,1.138,0.012%,0.001%,0.000%,0.000%,0.000%,0.000%,0.000%
140%,101.40%,103.79%,106.11%,108.42%,110.72%,113.01%,113.80%,416.108,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01391,1.03793,1.06111,1.08424,1.10716,1.13012,1.138,0.011%,0.001%,0.000%,0.000%,0.000%,0.000%,0.000%
140%,101.40%,103.79%,106.11%,108.42%,110.72%,113.01%,113.80%,417.594,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01392,1.03793,1.06111,1.08424,1.10716,1.13012,1.138,0.010%,0.001%,0.000%,0.000%,0.000%,0.000%,0.000%
141%,101.40%,103.79%,106.11%,108.42%,110.72%,113.01%,113.80%,419.08,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01393,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,0.010%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
141%,101.40%,103.79%,106.11%,108.42%,110.72%,113.01%,113.80%,420.566,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01394,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,0.009%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
142%,101.40%,103.79%,106.11%,108.42%,110.72%,113.01%,113.80%,422.052,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01395,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,0.008%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
143%,101.40%,103.79%,106.11%,108.42%,110.72%,113.01%,113.80%,423.539,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01395,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,0.009%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
143%,101.40%,103.79%,106.11%,108.42%,110.72%,113.01%,113.80%,425.025,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01396,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,0.008%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
144%,101.40%,103.79%,106.11%,108.42%,110.72%,113.01%,113.80%,426.511,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01397,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,0.007%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
144%,101.40%,103.79%,106.11%,108.42%,110.72%,113.01%,113.80%,427.997,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.01397,1.03794,1.06111,1.08424,1.10716,1.13012,1.138,0.007%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
