numMC,PL,,
528,-0.782374,-0.6258992,
529,0.859272,0.6874176,
530,-0.30945,-0.24756,
531,0.997346,0.7978768,
532,0.246107,0.1968856,
533,0.114713,0.0917704,
534,1.72799,1.382392,
535,0.0150307,0.01202456,
536,-0.805679,-0.6445432,
537,1.05137,0.841096,
538,-0.570299,-0.4562392,
539,1.24316,0.994528,
540,0.664727,0.5317816,
541,1.13484,0.907872,
542,0.792049,0.6336392,
543,1.06778,0.854224,
544,0.701658,0.5613264,
545,-0.608444,-0.4867552,
546,2.16464,1.731712,
547,-0.505097,-0.4040776,
548,-0.545003,-0.4360024,
549,2.31977,1.855816,
550,0.524168,0.4193344,
551,2.17743,1.741944,
552,1.2163,0.97304,
553,0.296833,0.2374664,
554,2.54888,2.039104,
555,-0.0189993,-0.01519944,
556,1.74988,1.399904,
557,0.414452,0.3315616,
558,1.90294,1.522352,
559,0.661794,0.5294352,
560,-1.06604,-0.852832,
561,0.825802,0.6606416,
562,-0.433993,-0.3471944,
563,0.592273,0.4738184,
564,1.9693,1.57544,
565,-0.0871737,-0.06973896,
566,0.59185,0.47348,
567,1.07078,0.856624,
568,0.593442,0.4747536,
569,0.879897,0.7039176,
570,0.149092,0.1192736,
571,-0.485926,-0.3887408,
572,-0.406363,-0.3250904,
573,-1.19168,-0.953344,
574,1.66321,1.330568,
575,0.14373,0.114984,
576,1.69537,1.356296,
577,0.74355,0.59484,
578,-0.632507,-0.5060056,
579,0.139964,0.1119712,
580,1.42052,1.136416,
581,0.819665,0.655732,
582,0.869932,0.6959456,
583,1.26643,1.013144,
584,0.690195,0.552156,
585,-0.347406,-0.2779248,
586,0.83449,0.667592,
587,-0.496262,-0.3970096,
588,1.05099,0.840792,
589,0.617627,0.4941016,
590,1.16154,0.929232,
591,0.533582,0.4268656,
592,0.685142,0.5481136,
593,1.36413,1.091304,
594,1.45276,1.162208,
595,-0.172013,-0.1376104,
596,0.193805,0.155044,
597,-0.771939,-0.6175512,
598,-1.80116,-1.440928,
599,0.224006,0.1792048,
600,-0.716752,-0.5734016,
601,1.47524,1.180192,
602,-1.14359,-0.914872,
603,1.67312,1.338496,
604,-0.343296,-0.2746368,
605,0.667468,0.5339744,
606,-0.613971,-0.4911768,
607,1.14506,0.916048,
608,1.97213,1.577704,
609,-0.506865,-0.405492,
610,0.832853,0.6662824,
611,0.13284,0.106272,
612,1.00057,0.800456,
613,0.719097,0.5752776,
614,2.13014,1.704112,
615,0.305005,0.244004,
616,0.876256,0.7010048,
617,-0.341093,-0.2728744,
618,0.852331,0.6818648,
619,1.23722,0.989776,
620,0.10412,0.083296,
621,-0.266533,-0.2132264,
622,-0.702001,-0.5616008,
623,-1.08057,-0.864456,
624,-1.30753,-1.046024,
625,0.268712,0.2149696,
626,0.320799,0.2566392,
627,-0.670973,-0.5367784,
628,0.0648644,0.05189152,
629,-0.262472,-0.2099776,
630,1.03404,0.827232,
631,-1.2737,-1.01896,
632,0.373863,0.2990904,
633,-0.135392,-0.1083136,
634,1.60688,1.285504,
635,-0.471407,-0.3771256,
636,-1.0375,-0.83,
637,-0.277963,-0.2223704,
638,0.297289,0.2378312,
639,0.916787,0.7334296,
640,-0.081256,-0.0650048,
641,-0.407089,-0.3256712,
642,1.05963,0.847704,
643,0.26587,0.212696,
644,-0.675959,-0.5407672,
645,-1.01731,-0.813848,
646,1.42935,1.14348,
647,-0.833537,-0.6668296,
648,1.47508,1.180064,
649,-0.419005,-0.335204,
650,-0.595402,-0.4763216,
651,1.56159,1.249272,
652,0.515653,0.4125224,
653,0.179621,0.1436968,
654,-1.26035,-1.00828,
655,1.60594,1.284752,
656,-0.532771,-0.4262168,
657,0.864115,0.691292,
658,-0.8642,-0.69136,
659,1.37146,1.097168,
660,-0.986108,-0.7888864,
661,-0.642828,-0.5142624,
662,1.52489,1.219912,
663,0.437187,0.3497496,
664,0.357824,0.2862592,
665,-0.143822,-0.1150576,
666,-0.141134,-0.1129072,
667,0.491566,0.3932528,
668,-0.732773,-0.5862184,
669,-1.82868,-1.462944,
670,-0.379646,-0.3037168,
671,0.776181,0.6209448,
672,-1.40836,-1.126688,
673,1.43485,1.14788,
674,1.22781,0.982248,
675,0.165209,0.1321672,
676,1.91573,1.532584,
677,0.289407,0.2315256,
678,0.591485,0.473188,
679,0.636262,0.5090096,
680,0.0471745,0.0377396,
681,0.703492,0.5627936,
682,1.48104,1.184832,
683,0.516189,0.4129512,
684,-0.853141,-0.6825128,
685,-0.209729,-0.1677832,
686,1.96943,1.575544,
687,-0.340737,-0.2725896,
688,-0.463974,-0.3711792,
689,0.480547,0.3844376,
690,-1.37502,-1.100016,
691,0.723901,0.5791208,
692,0.286858,0.2294864,
693,0.0291581,0.02332648,
694,0.177401,0.1419208,
695,0.269809,0.2158472,
696,2.19807,1.758456,
697,0.821236,0.6569888,
698,-0.301816,-0.2414528,
699,-1.34969,-1.079752,
700,0.313923,0.2511384,
701,0.302059,0.2416472,
702,0.393236,0.3145888,
703,-0.594506,-0.4756048,
704,0.448631,0.3589048,
705,1.05223,0.841784,
706,0.810763,0.6486104,
707,1.82863,1.462904,
708,0.155183,0.1241464,
709,-1.38665,-1.10932,
710,1.28565,1.02852,
711,-1.24535,-0.99628,
712,0.783467,0.6267736,
713,-0.36408,-0.291264,
714,1.14578,0.916624,
715,-1.31677,-1.053416,
716,-0.127029,-0.1016232,
717,-2.5428,-2.03424,
718,1.30265,1.04212,
719,-0.304258,-0.2434064,
720,-0.519928,-0.4159424,
721,0.999911,0.7999288,
722,0.975692,0.7805536,
723,1.59321,1.274568,
724,0.534722,0.4277776,
725,-0.0382552,-0.03060416,
726,0.413609,0.3308872,
727,1.84986,1.479888,
728,1.72495,1.37996,
729,-0.634694,-0.5077552,
730,1.5187,1.21496,
731,0.426899,0.3415192,
732,1.18341,0.946728,
733,2.55209,2.041672,
734,-1.4439,-1.15512,
735,0.601717,0.4813736,
736,-0.880931,-0.7047448,
737,0.267085,0.213668,
738,0.267732,0.2141856,
739,-0.272357,-0.2178856,
740,1.43626,1.149008,
741,-1.91239,-1.529912,
742,3.23074,2.584592,
743,0.438081,0.3504648,
744,0.734134,0.5873072,
745,1.19216,0.953728,
746,-0.631027,-0.5048216,
747,1.04937,0.839496,
748,0.314105,0.251284,
749,0.132302,0.1058416,
750,0.95511,0.764088,
751,0.00370394,0.002963152,
752,-0.173185,-0.138548,
753,-0.518984,-0.4151872,
754,0.247601,0.1980808,
755,0.359208,0.2873664,
756,0.57865,0.46292,
757,-1.58926,-1.271408,
758,1.52248,1.217984,
759,2.36249,1.889992,
760,0.461185,0.368948,
761,1.61505,1.29204,
762,1.67865,1.34292,
763,-0.550987,-0.4407896,
764,-0.200865,-0.160692,
765,0.1278,0.10224,
766,-2.26835,-1.81468,
767,-0.799027,-0.6392216,
768,0.567742,0.4541936,
769,0.447175,0.35774,
770,0.577111,0.4616888,
771,1.10221,0.881768,
772,-0.53942,-0.431536,
773,0.896741,0.7173928,
774,-0.88823,-0.710584,
775,1.16845,0.93476,
776,-0.116042,-0.0928336,
777,0.663062,0.5304496,
778,-1.33978,-1.071824,
779,0.390557,0.3124456,
780,-0.770784,-0.6166272,
781,-2.37914,-1.903312,
782,0.385854,0.3086832,
783,0.990826,0.7926608,
784,-0.0500679,-0.04005432,
785,0.9978,0.79824,
786,0.207575,0.16606,
787,-0.878521,-0.7028168,
788,0.0247307,0.01978456,
789,0.269268,0.2154144,
790,0.925192,0.7401536,
791,0.251135,0.200908,
792,0.497604,0.3980832,
793,1.61114,1.288912,
794,1.93234,1.545872,
795,0.770247,0.6161976,
796,1.01325,0.8106,
797,0.323076,0.2584608,
798,2.73466,2.187728,
799,1.23631,0.989048,
800,1.59307,1.274456,
801,1.34578,1.076624,
802,1.96599,1.572792,
803,0.889548,0.7116384,
804,0.522409,0.4179272,
805,-0.561273,-0.4490184,
806,0.368492,0.2947936,
807,1.36662,1.093296,
808,1.38822,1.110576,
809,0.158603,0.1268824,
810,1.12259,0.898072,
811,3.4552,2.76416,
812,1.28862,1.030896,
813,2.18004,1.744032,
814,-0.132521,-0.1060168,
815,-0.399884,-0.3199072,
816,1.48574,1.188592,
817,-2.10195,-1.68156,
818,0.0523031,0.04184248,
819,0.43291,0.346328,
820,-0.760477,-0.6083816,
821,-1.6353,-1.30824,
822,-0.340003,-0.2720024,
823,0.58258,0.466064,
824,1.19872,0.958976,
825,0.610387,0.4883096,
826,0.432819,0.3462552,
827,1.80052,1.440416,
828,0.612213,0.4897704,
829,0.0543194,0.04345552,
830,0.213325,0.17066,
831,-0.0579157,-0.04633256,
832,-0.382904,-0.3063232,
833,-1.15843,-0.926744,
834,0.909993,0.7279944,
835,2.01886,1.615088,
836,2.53031,2.024248,
837,1.15451,0.923608,
838,-0.345097,-0.2760776,
839,0.540343,0.4322744,
840,0.965658,0.7725264,
841,-0.0702496,-0.05619968,
842,-0.13672,-0.109376,
843,-0.333023,-0.2664184,
844,-0.416075,-0.33286,
845,0.0820252,0.06562016,
846,1.14301,0.914408,
847,0.158283,0.1266264,
848,1.13871,0.910968,
849,1.41436,1.131488,
850,2.94905,2.35924,
851,1.17879,0.943032,
852,-0.263817,-0.2110536,
853,-0.505166,-0.4041328,
854,0.25555,0.20444,
855,-1.3476,-1.07808,
856,-0.551886,-0.4415088,
857,-2.50091,-2.000728,
858,0.521902,0.4175216,
859,0.0947334,0.07578672,
860,-0.505457,-0.4043656,
861,-0.404416,-0.3235328,
862,1.31383,1.051064,
863,1.49956,1.199648,
864,0.212913,0.1703304,
865,-0.619999,-0.4959992,
866,1.52015,1.21612,
867,0.939979,0.7519832,
868,-0.222856,-0.1782848,
869,0.462534,0.3700272,
870,1.63848,1.310784,
871,-0.526399,-0.4211192,
872,-0.281302,-0.2250416,
873,-1.05773,-0.846184,
874,0.497721,0.3981768,
875,-0.756857,-0.6054856,
876,-0.12285,-0.09828,
877,0.675352,0.5402816,
878,-0.969724,-0.7757792,
879,-2.93751,-2.350008,
880,0.664128,0.5313024,
881,0.635138,0.5081104,
882,0.765954,0.6127632,
883,0.381401,0.3051208,
