numMC,PL,,,,
221,0.000544786,0,,,
222,0.00157052,0,,,
223,8.12E-05,0,,,
224,0.00563633,0,,,
225,0.0070441,0,,,
226,-0.0062638,0,,,
227,-0.000823881,0,,,
228,-0.00251594,0,,,
229,-0.00154525,0,,,
230,-0.000131844,0,,,
231,0.0018186,0,,,
232,0.000864765,0,,,
233,-0.00153307,0,,,
234,-0.00113899,0,,,
235,0.0019208,0,,,
236,-0.00240264,0,,,
237,-0.000573724,0,,,
238,0.00283683,0,,,
239,-0.000164084,0,,,
240,0.0167865,0,,,
241,0.00233191,0,,,
242,0.00161929,0,,,
243,0.0110763,0,,,
244,0.000219043,0,,,
245,0.000455504,0,,,
246,0.0133652,0,,,
247,0.00457729,0,,,
248,-0.00122559,0,,,
249,-0.00306639,0,,,
250,-0.0475939,1,,,
251,0.000359495,0,,,
252,0.00498913,0,,,
253,0.014737,0,,,
254,-0.0018128,0,,,
255,0.00127164,0,,,
256,-0.00119421,0,,,
257,0.000538119,0,,,
258,0.00318758,0,,,
259,-0.0066369,0,,,
260,-0.00113119,0,,,
261,-1.29E-05,0,,,
262,-0.0143121,1,,,
263,-0.00245693,0,,,
264,0.00116603,0,,,
265,0.00699117,0,,,
266,0.000650853,0,,,
267,0.0162947,0,,,
268,0.0114978,0,,,
269,0.000219264,0,,,
270,0.000891242,0,,,
271,0.00192006,0,,,
272,0.00154229,0,,,
273,0.000585373,0,,,
274,0.000226434,0,,,
275,-0.00206716,0,,,
276,-0.00476082,0,,,
277,-0.000300716,0,,,
278,-0.00144392,0,,,
279,-0.00219537,0,,,
280,-0.0107357,0,,,
281,-0.00680966,0,,,
282,0.00394412,0,,,
283,0.00143459,0,,,
284,-0.000282293,0,,,
285,-0.0129216,1,,,
286,0.00174049,0,,,
287,0.00251002,0,,,
288,0.00197208,0,,,
289,0.000467492,0,,,
290,-0.00710114,0,,,
291,-0.0119814,0,,,
292,-0.00320021,0,,,
293,-0.00568027,0,,,
294,0.0278564,0,,,
295,-0.00045729,0,,,
296,-0.000102175,0,,,
297,0.00107669,0,,,
298,-0.00635956,0,,,
299,0.00140272,0,,,
300,0.000500988,0,,,
301,0.000976895,0,,,
302,-0.00328236,0,,,
303,0.0124142,0,,,
304,0.00167838,0,,,
305,0.00459057,0,,,
306,-0.00178341,0,,,
307,-0.00553294,0,,,
308,-0.00239561,0,,,
309,-0.00336961,0,,,
310,0.000243504,0,,,
311,0.00112539,0,,,
312,0.0206867,0,,,
313,-0.0175188,1,,,
314,0.00356106,0,,,
315,0.00461999,0,,,
316,0.00270945,0,,,
317,-0.0030582,0,,,
